head-work [01/'hedwə:k/]	như [03headwork]
heady [01/'hedi/]	[01* ttừ]\n- nóng nảy, hung hăng, hung dữ (người, hành động)\n- nặng, dễ bốc lên đầu, dễ làm say (rượu) 
heal [01/hi:l/]	[01* ngđtừ]\n- chữa khỏi (bệnh...), làm lành (vết thương...)\n[02= to heal someone of a disease] chữa cho ai khỏi bệnh gì\n- hàn gắn (mối quan hệ bị nứt rạn)\n[02= to heal a rift] hàn gắn mối quan hệ bị nứt rạn\n- dàn hoà, hoà giải (mối bất hoà...)\n[01* nđtừ]\n- lành lại (vết thương) 
heal-all [01/'hi:l'ɔ:l/]	[01* dtừ]\n- thuốc bách bệnh
heald [01/hild ; hiəld/]	[01* dtừ]\n- xem [03heddle] 
healer [01/'hi:lə/]	[01* dtừ]\n- người chữa bệnh\n[02= time is a great healer] thời gian chữa khỏi được mọi vết thương
healing [01/'hi:liη/]	[01* ttừ]\n- để chữa bệnh, để chữa vết thương\n[02= healing ointments] thuốc mỡ rịt vết thương\n- đang lành lại, đang lên da non (vết thương) 
health [01/helθ/]	[01* dtừ]\n- sức khoẻ\n- sự lành mạnh\n- thể chất\n[02= good health] thể chất khoẻ mạnh; sức khoẻ tốt\n[02= bad health] thể chất yếu đuối; sức khoẻ kém\n[02= to be broken in health] thể chất suy nhược; sức khoẻ suy nhược\n- cốc rượu chúc sức khoẻ\n[02= to drink somebody's health] nâng cốc chúc sức khoẻ ai\n- y tế\n[02= the Ministry of Health] bộ y tế\n[02= officer of health] cán bộ y tế
health centre [01/'helθsentə/]	[01* dtừ]\n- trung tâm y tế
health farm [01/'helθfɑ:m/]	[01* dtừ]\n- trại tập luyện dưỡng sinh
health food [01/'helθfud/]	[01* dtừ]\n- thực phẩm tự nhiên (không pha trộn các chất giả tạo) 
health insurance [01/'helθin'∫uərəns/]	[01* dtừ]\n- sự bảo hiểm sức khoẻ (khi ốm) 
health salts [01/'helθsɔ:lts/]	[01* dtừ s/n]\n- thuốc muối (dùng (như) thuốc xổ) 
health service [01/'helθ,sə:vis/]	[01* dtừ]\n- dịch vụ y tế
health visitor [01/'helθ,vizitə/]	[01* dtừ]\n- y tế đến săn sóc người bệnh tại nhà riêng
healthful [01/'helθful/]	[01* ttừ]\n- lành mạnh\n- có lợi cho sức khoẻ, làm tăng sức khoẻ
healthfullness [01/'helθfulnis/]	như [03healthfulness]
healthfulness [01/'helθfulnis/]	[01* dtừ]\n- tính chất lành mạnh\n- tính chất có lợi cho sức khoẻ
healthily [01/'helθili/]	[01* phtừ]\n- mạnh khoẻ, lành mạnh
healthiness [01/'helθinis/]	[01* dtừ]\n- sự khoẻ mạnh, trạng thái sức khoẻ tốt\n- tính chất có lợi cho sức khoẻ\n- tính lành mạnh
health-officer [01/'helθ,ɔfisə/]	[01* dtừ]\n- cán bộ y tế
health-resort [01/'helθri'zɔ:t/]	[01* dtừ]\n- nơi nghỉ ngơi lấy lại sức khoẻ
healthy [01/'helθi/]	[01* ttừ]\n- khoẻ mạnh\n- có lợi cho sức khoẻ\n[02= a healthy climate] khí hậu lành (tốt cho sức khoẻ)\n- lành mạnh\n[02= a healthy way of living] lối sống lành mạnh
heap [01/hi:p/]	[01* dtừ]\n- đống\n[02= a heap of sand] một đống cát\n- (tục) rất nhiều\n[02= there is heaps more to say on this question] còn có thể nói rất nhiều về vấn đề này\n[02= heaps of times] rất nhiều lần\n[02= heaps of people] rất nhiều người\n- (số nhiều dùng như phtừ) nhiều, lắm\n[02= he is heaps better] nó khá (đỡ) nhiều rồi\n[04! to be struck all of a heap]\n- điếng người, sửng sốt, rụng rời, mất vía\n[01* ngđtừ]\n- ((thường) +[02up]) xếp thành đống, chất đống\n[02= to heap up stones] xếp đá lại thành đống, chất đống\n[02= to heap up riches] tích luỹ của cải\n- để đầy, chất đầy; cho nhiều\n[02= to heap a card with goods] chất đầy hàng lên xe bò\n[02= to heap insults upon someone] chửi ai như tát nước vào mặt\n[02= to heap someone with favours] ban cho ai nhiều đặc ân
hear [01/hiə/]	[01* đtừ] [03heard] /hə:d/\n- nghe\n[02= he doesn't hear well] anh ta nghe không rõ\n[02= to hear a lecture] nghe bài thuyết trình\n[02= to hear the witnesses] nghe lời khai của những người làm chứng\n[02= to hear someone out] nghe ai nói cho đến hết\n- nghe theo, chấp nhận, đồng ý\n[02= he will not hear of it] hắn chẳng chịu nghe đâu, hắn chẳng đồng ý đâu\n- (+[04 of, about, from]) nghe nói, nghe tin, được tin, biết tin; nhận được (thư...)\n[02= to hear from somebody] nhận được tin của ai\n[02= have you heard of the news?] anh ta đã biết tin đó chưa?\n[02= I have never heard of such a thing!] chưa bao giờ tôi lại nghe được một điều như vậy!\n[04! hear! hear!]\n- hoan hô!; đúng đúng! hay lắm!, tuyệt! (đôi khi có ý mỉa mai)\n[04! you will hear of this!]\n- rồi cậu còn nghe chửi chán về cái chuyện đó!, rồi cậu sẽ biết tay!
heard [01/hiə/]	như [03hear]
hearer [01/'hiərə/]	[01* dtừ]\n- người nghe, thính giả
hearing [01/'hiəriη/]	[01* dtừ]\n- thính giác\n[02= to be hard of hearing] nặng tai\n[02= to be quick of hearing] thính tai\n- tầm nghe\n[02= within hearing] ở gần có thể nghe được, ở gần có thể bị nghe thấy\n[02= out of hearing] ở xa không nghe thấy được, ở xa không bị nghe thấy\n[02= in my hearing] trong lúc tôi có mặt\n- sự nghe\n[02= to give somebody a fair hearing] nghe ai (nói, trình bày ý kiến...) với thái độ vô tư
hearing-aid [01/'hiəriη'eid/]	[01* dtừ]\n- ống nghe (của người điếc) 
hearken [01/'hɑ:kən/]	[01* nđtừ]\n- (+[04 to]) lắng nghe\n[02= to hearken to somebody] lắng nghe ai
hearsay [01/'hiəsei/]	[01* dtừ]\n- tin đồn, lời đồn\n[02= to have something by hearsay] biết cái gì do nghe đồn\n[01* định ngữ]\n- dựa vào tin đồn, do nghe đồn\n[02= hearsay evidence] chứng cớ dựa vào lời nghe đồn
hearse [01/hə:s/]	[01* dtừ]\n- xe tang\n- (cổ) nhà táng
