quatrocentist [01/,kwɑ:trou't∫entist/]	như [03quattrocentist]
quatrocento [01/,kwɑ:trou't∫entou/]	[01* dtừ]\n- thế kỷ 15 (nghệ thuật Y) 
quattrocentist [01/,kwɑ:trou'tʃəntist/]	[01* dtừ]\n- nghệ sĩ Y thế kỷ 15
quattrocento [01/,kwɑ:trou'tʃentou/]	[01* dtừ]\n- thế kỷ 15 (nghệ thuật
quaver [01/'kweivə/]	[01* dtừ]\n- sự rung tiếng; tiếng nói rung\n- (âm nhạc) sự láy rền\n- (âm nhạc) nốt móc\n[02= quaver rest] lặng móc\n[01* đtừ]\n- rung (tiếng) ; nói rung tiếng\n- (âm nhạc) láy rền\n[04! to quaver out]\n- nói rung tiếng, nói giọng rung rung
quaver rest	[01* dtừ]\n-(ầm nhạc) sự dừng lại bằng thời gian nửa nốt móc
quavering [01/'kweivəriη/]	[01* ttừ]\n- rung rung (tiếng nói...)\n- láy rền (giọng hát) 
quavery [01/'kweivəri/]	[01* ttừ]\n- rung rung
quay [01/ki:/]	[01* dtừ]\n- ke, bến (cảng) 
quayage [01/'ki:idʒ/]	[01* dtừ]\n- thuế bến\n- hệ thống bến, dãy bến
quayside [01/'ki:said/]	[01* dtừ]\n- đất ở bên cạnh bến cảng, đất ở bên rìa bến cảng
quean [01/kwi:n/]	[01* dtừ]\n- (cổ) đàn bà hư hỏng; cô gái trai lơ đĩ thoã\n- (Ê-cốt) cô gái
queasily [01/'kwi:zili/]	[01* phtừ]\n- buồn nôn; gây nôn
queasiness [01/'kwi:zinis/]	[01* dtừ]\n- sự buồn nôn, sự buồn mửa\n- sự khó tính; tính khảnh\n- tính dễ mếch lòng
queasy [01/'kwi:zi/]	[01* ttừ]\n- làm lộn mửa, làm buồn nôn (thức ăn)\n- dễ bị đau, dễ bị đầy (bụng)\n- cảm thấy lộn mửa, cảm thấy buồn nôn (người)\n- khó tính; khảnh\n- dễ mếch lòng
quebracho [01/kə'brɑ:t∫ou/]	[01* dtừ]\n- cây mẻ rìu (cây lỗ rất cứng ở Mỹ)\n- vỏ cây mẻ rìu (dùng làm thuốc) 
