capilliform [01/kə'pilifɔ:m/]	[01* ttừ]\n- dạng lông
capillitium [01/kəpi'lisiəm/]	[01* dtừ]\n- (sinh học) mạng
capita [01/'kæpitə/]	[01* dtừ s/n]\n- per capita\n- theo đầu người
capital [01/'kæpitl/]	[01* dtừ]\n- thủ đô, thủ phủ\n- chữ viết hoa\n[02= to write one's name in capital] viết tên bằng chữ hoa\n- tiền vốn, tư bản\n[02= floating (working) capital] vốn luân chuyển\n[02= fixed capital] tư bản bất biến\n- (kiến trúc) đầu cột\n[04! to make capital out of]\n- kiếm lợi ở, kiếm chác ở, lợi dụng\n[01* ttừ]\n- quan hệ đến sinh mạng; tử hình\n[02= capital offence] tội tử hình\n- chính, ở đầu, ở trên đầu, ở trên hết\n[02= capital city] thủ đô\n- chủ yếu, cốt yếu, cơ bản, lớn\n[02= of capital inmportance] có tầm quan trọng lớn\n[02= capital letter] chữ hoa\n- tuyệt diệu, thượng hạng, ưu tú, xuất sắc, rất hay\n[02= a capital speach] bài nói rất hay\n[02= what a capital idea!] ý kiến mới tuyệt diệu làm sao!\n- vô cùng tai hại\n[02= a capital error] một sự lầm lẫn vô cùng tai hại\n[04! capital constructions]\n- xây dựng cơ bản\n[04! capital goods]\n- tư liệu sản xuất
capital expenditure [01/'kæpitl iks'penditʃə/]	- (ktế) Chi tiêu cho vốn.
capital gain [01/'kæpitlgein/]	- (ktế) Khoản lãi vốn.
capital gains tax [01/'kæpitl'geinz'tæks/]	- (ktế) Thuế lãi vốn.
capital goods [01/'kæpitl gudz/]	- (ktế) Tư liệu sản xuất, hàng tư liệu sản xuất.
capital intensive [01/'kæpitlin'tensiv/]	[01* dtừ]\n-(về các quá trình công nghiệp) cần đầu tư các khoản tiền rất lớn
capital letter	- (kỹ) chữ hoa
capital levy [01/'kæpitl 'levi/]	[01* dtừ]\n- thuế đánh vào của cải hoặc tài sản riêng; thuế vốn
capital sum [01/'kæpitlsʌm/]	[01* dtừ]\n- thanh toán tiền một lần, thí dụ cho người được bảo hiểm
capital transfer [01/'kæpitl'trænsfə/]	[01* dtừ]\n- sự chuyển tiền hoặc tài sản từ người này sang người khác (do thừa kế chẳng hạn) 
capital transfer tax [01/'kæpitl'trænsfə'tæks/]	- (ktế) Thuế chuyển giao vốn
capital-intensive [01/'kæpitl in'tensiv/]	[01* ttừ]\n- cần nhiều vốn, đòi hỏi phải có vốn lớn
capitalise [01/kə'pitəlaiz/]	[01* ngđtừ]\n- tư bản hoá, chuyển thành tư bản; dùng làm vốn\n- viết bằng chữ hoa, in bằng chữ hoa\n- (bóng) lợi dụng
capitalism [01/'kæpitəlizm/]	[01* dtừ]\n- chủ nghĩa tư bản
capitalist [01/'kæpitəlist/]	như [03capitalistic]
capitalistic [01/'kæpitəlist/]	[01* dtừ]\n- nhà tư bản\n[04! cockroach capitalist]\n- (Mỹ) nhà tư bản nhỏ, tiểu chủ\n[01* ttừ] [03capitalistic] /,kæpitə'listik/\n- tư bản, tư bản chủ nghĩa
capitalistically	- xem [03capitalistic] 
capitalizable	- xem [03capitalize] 
capitalization [01/kə,pitəlai'zei∫n/]	[01* dtừ]\n- sự tư bản hoá, sự dùng làm vốn\n- sự viết bằng chữ hoa, sự in bằng chữ hoa\n- (bóng) sự lợi dụng
capitalize [01/'kæpitəlaiz/]	như [03capitalise]
capitally [01/'kæpitli/]	[01* phtừ]\n- chính, chủ yếu\n- tuyệt diệu, xuất sắc, rất hay\n[02= she sang that song capitally] cô ta hát bài đó rất hay\n[04! to punish capitally]\n- kết tội tử hình
capital-profit [01/'kæpitl 'prɔfit/]	[01* dtừ]\n- lợi nhuận do vốn đưa đến
capital-ship [01/'kæpitl '∫ip/]	[01* dtừ]\n- chiếc tàu chiến chính
capital-sum [01/'kæpitlsʌm/]	[01* dtừ]\n- tổng số tiền
capital-transfer tax [01/'kæpitl trænsfə:'tæks/]	[01* dtừ]\n- thuế chuyển giao tư bản
capitate [01/'kæpiteit/]	[01* ttừ]\n- hình đầu
capitated [01/'kæpiteitid/]	như [03capitate]
capitation [01/,kæpi'tei∫n/]	[01* dtừ]\n- thuế theo đầu người, thuế thân
capitative	- xem [03capitation] 
Capitol [01/'kæpitl/]	[01* dtừ]\n- the Capitol tòa nhà Quốc hội Hoa Kỳ tại Washington
capitole [01/'kæpitl/]	[01* dtừ]\n- trụ sở Quốc hội Hoa Kỳ
capitulant	- xem [03capitulate] 
capitular [01/kə'pitjulə/]	[01* ttừ]\n- (thuộc) tăng hội
capitularly	- xem [03capitular] 
capitulate [01/kə'pitjuleit/]	[01* nđtừ]\n- đầu hàng ((thường) là có điều kiện) 
capitulation [01/kə,pitju'lei∫n/]	[01* dtừ]\n- sự đầu hàng ((thường) là có điều kiện)\n- thoả ước, thoả ước có mang điều kiện đầu hàng; điều kiện\n- bản kê tóm tắt điểm chính (của một vấn đề) 
capitulator	như [03capitulant]
capitulatory	- xem [03capitulation] 
capitulum [01/kə'pitjuləm ; kə'pit∫ələm/]	[01* dtừ] s/n [02capitula]\n- (thực vật) đầu; mõm\n- cụm hoa dạng đầu
caplin [01/'kæplin/]	[01* dtừ]\n- cũng [03capelin]\n- (động vật) cá ốt vảy nhỏ
capon [01/'keipən/]	[01* dtừ]\n- gà trống thiến
caponier [01/,kæpə'niə/]	[01* dtừ]\n- đường ngầm
caponize [01/'keipənaiz/]	[01* ngđtừ]\n- thiến (gà) 
caporal [01/'kæpəra:l/]	[01* dtừ]\n- thuốc lá loại xoàng\n- hạ sĩ
capot [01/kə'pɔt/]	[01* dtừ]\n- (đánh bài) sự ăn hết, sự ăn trắng\n[01* ngđtừ]\n- (đánh bài) ăn hết, ăn trắng
capote [01/kə'pout/]	[01* dtừ]\n- áo choàng có mũ trùm đầu, áo ca pốt\n- mui xe
cap-product	- tích Witny
cappuccino [01/kæpu't∫i:nəʊ/]	[01* dtừ]\n- (tiếng Y) cà phê sữa
capric acid [01/'kæprik 'æxid/]	[01* dtừ]\n-(hoá) axit capric
capriccio [01/kə'prit∫iou/]	[01* dtừ]\n- (âm nhạc) khúc tuỳ hứng
caprice [01/kə'pri:s/]	[01* dtừ]\n- tính thất thường, tính đồng bóng\n- (như) [03capriccio] 
capricious [01/kə'pri∫əs/]	[01* ttừ]\n- thất thường, đồng bóng
capriciously [01/kə'pri∫əsli/]	[01* phtừ]\n- thất thường, gàn
capriciousness [01/kə'pri∫əsnis/]	[01* dtừ]\n- tính thất thường, tính đồng bóng
capricorn [01/'kæprikɔ:n/]	[01* dtừ]\n- the tropic of capricorn đông chí tuyến
caprification [01/kæprifi'kei∫n/]	[01* dtừ]\n- (thực vật) sự thụ phấn kín; sự thụ phấn hoa vả
caprine [01/'kæprain/]	[01* ttừ]\n- (thuộc) dê; giống con dê
capriole [01/'kæprioul/]	[01* dtừ]\n- sự nhảy lồng lên (ngựa)\n[01* nđtừ]\n- nhảy lồng lên (ngựa) 
caproic-acid [01/kæ'prouik'æsid/]	[01* dtừ]\n- (hoá) axit caproic
caprylic-acid [01/kə'prilik'æsid/]	[01* dtừ]\n- (hoá) axit caprilic
caps [01/kæps/]	[01* dtừ]\n- những chữ cái hoa
caps = capitals	- (kỹ) các chữ hoa
caps lock	- (kỹ) khóa phím chữ hoa
capsaicin [01/kæp'saisin/]	[01* dtừ]\n- (hoá) capxaixin
capsicum [01/'kæpsikəm/]	[01* dtừ]\n- (thực vật) cây ớt\n- quả ớt
capsize [01/kæp'saiz/]	[01* dtừ]\n- sự lật úp (thuyền)\n[01* đtừ]\n- lật úp; úp sấp (thuyền) 
capstan [01/'kæpstən/]	[01* dtừ]\n- cái tời (để kéo hay thả dây cáp) 
capstan servo	- (kỹ) trợ động trục quay chủ
capsule [01/'kæpsju:l/]	[01* dtừ]\n- (thực vật) quả nang\n- (phẫu) bao vỏ\n- (dược học) bao con nhộng\n- bao thiếc bịt nút chai\n- (hoá) nồi con, capxun\n- đầu mang khí cụ khoa học (của tên lửa vũ trụ) 
capt [01/kæpt/]	[01* dtừ], (vt) của [03captain] 
captain [01/'kæptin/]	[01* dtừ]\n- người cầm đầu, người chỉ huy, thủ lĩnh\n- tướng lão luyện; nhà chiến lược\n- (qsự) đại uý\n- (hàng hải) thuyền trưởng, hạm trưởng\n- (thể thao) đội trưởng, thủ quân\n-(ngôn ngữ nhà trường) trường lớp\n- (ngành mỏ) trưởng kíp\n- (hàng không) phi công
captaincy [01/'kæptinsi/]	[01* ngđtừ]\n- cầm đầu, điều khiển, chỉ huy\n- (thể thao) làm thủ quân (đội bóng)\n[01* dtừ] [03captainship] /'kæptinʃip/\n- (qsự) cấp bậc đại uý\n- (hàng hải) cấp thuyền trưởng
captainship [01/'kæptin∫ip/]	[01* dtừ]\n- (như) [03captaincy]\n- sự chỉ huy, sự cầm đầu, sự điều khiển\n- nhiệm vụ của người chỉ huy
caption [01/'kæp∫n/]	[01* dtừ]\n- đầu đề (một chương mục, một bài báo...)\n- đoạn thuyết minh, lời chú thích (trên màn ảnh, dưới hình vẽ)\n- (pháp lý) sự bắt bớ, sự giam giữ\n- (pháp lý) bản chỉ dẫn kèm theo hồ sơ
captious [01/'kæp∫əs/]	[01* ttừ]\n- xảo trá, nguỵ biện; tìm cách đưa vào tròng (lý luận)\n- hay bắt bẻ, hay bắt lỗi, tính xoi mói
captiously [01/'kæp∫əsli/]	[01* phtừ]\n- xoi mói, quỷ quyệt
captiousness [01/'kæp∫əsnis/]	[01* dtừ]\n- tính xảo trá, tính nguỵ biện; sự tìm cách đưa vào tròng\n- tính hay bắt bẻ, tính xoi mói
captivate [01/'kæptiveit/]	[01* ngđtừ]\n- làm say đắm, quyến rũ
captivating [01/'kæptiveitiη/]	[01* ttừ]\n- làm say đắm, quyến rũ
captivation [01/,kæpti'vei∫n/]	[01* dtừ]\n- sự làm say đắm, sự quyến rũ
captivator	- xem [03captivate] 
captive [01/'kæptiv/]	[01* ttừ]\n- bị bắt giữ, bị giam cầm\n[02= to be in a captive state] trong tình trạng bị giam cầm\n[02= to hold captive] bắt giữ (ai)\n[01* dtừ]\n- tù nhân, người bị bắt giữ\n[02= to be taken captive] bị bắt giữ
captive balloon [01/'kæptivbə'lu:n/]	[01* dtừ]\n- khí cầu có dây buộc (ở mặt đất) 
captivity [01/kæp'tiviti/]	[01* dtừ]\n- tình trạng bị giam cầm, tình trạng bị câu thúc
captor [01/'kæptə/]	[01* dtừ]\n- người bắt giam (ai)\n- (hàng hải) tàu săn bắt (tàu địch, tàu buôn lậu...) 
capture (of data) = data capturing	- (kỹ) bắt dữ kiện
capture [01/'kæpt∫ə/]	[01* dtừ]\n- sự bắt giữ, sự bị bắt\n- sự đoạt được, sự giành được\n- người bị bắt, vật bị bắt\n[01* ngđtừ]\n- bắt giữ, bắt\n- đoạt được, lấy được, chiếm được, giành được, thu hút\n[02= to capture the attention of...] thu hút được sự chú ý của...
capturer [01/'kæpt∫ərə/]	[01* dtừ]\n- người bắt giữ, người bắt
capuchin [01/'kæpju∫in/]	[01* dtừ]\n- (Capuchin) thầy tu dòng Fran-xít\n- áo choàng có mũ (của đứa bé)\n- (động vật) khỉ mũ
caput [01/'kæpət/]	[01* dtừ]\n- đầu\n- chương, tiết
capybara [01/,kæpi' bɑ: rə/]	[01* dtừ]\n- loài gặm nhấm Nam Mỹ giống chuột lang
car [01/kɑ:/]	[01* dtừ]\n- xe ô tô; xe\n[02= to go by car] đi bằng ô tô\n[02= armoured car] (qsự) xe bọc thép\n[02= amphibious car] (qsự) xe lội nước\n- (Mỹ) toa (xe lửa, xe điện)\n[02= goods car] toa chở hàng\n- giỏ khí cầu\n- (Mỹ) buồng thang máy\n- (thơ ca) xe, xa\n[02= car of the sun] xe mặt trời
carabao [01/ka:rə'beiou/]	[01* dtừ]\n- trâu (Mã-lai) 
carabid [01/'kærəbid/]	[01* dtừ]\n- (động vật) họ bọ kỳ
carabine [01/'kænbin/]	như [03carbine]
carabineer [01/,kærəbi'niə/]	như [03carbineer]
caracal [01/'kærəkæl/]	[01* dtừ]\n- (động vật) linh miêu
caracole [01/'kærəkoul/]	[01* dtừ]\n- sự quay nửa vòng (sang trái hoặc phải)(ngựa)\n[01* nđtừ]\n- quay nửa vòng (sang trái hoặc phải) 
caracul [01/kærəkʌl/]	[01* dtừ]\n- cừu caracun\n- da lông cừu caracun
carafe [01/kə'rɑ:f/]	[01* dtừ]\n- bình đựng nước (để ở bàn ăn) 
caralliform [01/'kɔrəlifɔ:m/]	như [03coralliform]
caramel [01/'kærəmel/]	[01* dtừ]\n- đường caramen, đường thắng\n- kẹo caramen\n- màu nâu nhạt
caramelise [01/'kærəməlaiz/]	[01* đtừ]\n- như [caramelize]
caramelization	- xem [03caramelize] 
caramelize [01/'kærəməlaiz/]	[01* ngđtừ]\n- biến thành caramen
carapace [01/'kæræpeis/]	[01* dtừ]\n- mai (cua, rùa) ; giáp (tôm) 
carat [01/'kærət/]	[01* dtừ]\n- cara
caravan [01/'kærəvæn/]	[01* dtừ]\n- đoàn bộ hành, đoàn người đi buôn (tập họp nhau để vượt xa mạc hoặc các vùng nguy hiểm) ; đoàn người hành hương\n- xe lớn, xe moóc (dùng làm nơi ở), nhà lưu động\n- xe tải lớn có mui\n[01* nđtừ]\n- đi chơi bằng nhà lưu động\n- định cư ở khu vực nhà lưu động
caravanner [01/,kærə'vænə/]	[01* dtừ]\n- người đi chơi bằng nhà lưu động\n- người định cư ở khu vực nhà lưu động
caravanserai [01/,kærə'vænsərai/]	[01* dtừ]\n- tạm nghỉ qua sa mạc\n- khách sạn lớn, nhà trọ lớn
caravan-site [01/kærə'vænsait/]	[01* dtừ]\n- khu vực tạm thời dành cho các đoàn hành thương
caravel [01/'kærəvel/]	như [03carvel]
caraway [01/'kærəwei/]	[01* dtừ]\n- (thực vật) cây carum (họ hoa tán) 
carbamate [01/'ka:bə,meit/]	[01* dtừ]\n- (hoá) cacbamat
carbamic acid [01/ka:'bæmik 'æsid/]	[01* dtừ]\n-(hoá) axit cacbamic
carbamide [01/ka:bəmaid/]	[01* dtừ]\n- (hoá) urê; cacbamit
carbamino [01/,kæbə,mi:nou/]	[01* ttừ]\n- thuộc axit cacbamit
carbamyl [01/kæbəmil, kæbəmail/]	- Cách viết khác : [03carbamoyl]
carbarn [01/'kɑ:bɑ:n/]	[01* dtừ]\n- (Mỹ) chỗ để xe điện
carbide [01/'kɑ:baid/]	[01* dtừ]\n- (hoá) cacbua
carbine [01/'kɑ:bain; 'kɑ:bin/]	[01* dtừ]\n- súng cacbin
carbineer [01/,kɑ:bi'niə/]	[01* dtừ]\n- (qsự) người sử dụng cacbin
carbinol [01/'ka:binɔl/]	[01* dtừ]\n- cacbinola; rượu melitic
carbocyclic [01/'ka:bou'saiklik, 'ka:bou'siklik/]	[01* dtừ]\n- (hoá) cacboxiclic
carbohydrate [01/,kɑ:bəʊhaidreit/]	[01* dtừ]\n- (hoá) hyđat-cacbon
carbolic acid [01/kɑ:,bɒlik 'æsid/]	[01* dtừ]\n- (hóa) phenol
carbomb [01/ka:'bɔm/]	[01* dtừ]\n- xe ô tô chở bom
carbon [01/'kɑ:bən/]	[01* dtừ]\n- (hoá) cacbon\n[02= carbon dioxide] cacbon đioxyt, khí cacbonic\n- giấy than; bản sao bằng giấy than\n- (điện học) thỏi than (làm đèn cung lửa)\n- (ngành mỏ) kim cương đen (để khoan đá) 
carbon black [01/'kɑ:bənblæk/]	[01* dtừ]\n- bột đen dùng để chế tạo phẩm màu hoặc cao su
carbon copy [01/'kɑ:bən'kɔpi/]	như [03carbon-copy]
carbon dating [01/'kɑ:bən, deitiη/]	[01* dtừ]\n- phương pháp xác định niên đại bằng cacbon
carbon filament	- (kỹ) sợi cacbon
carbonaceous [01/,kɑ:bə'nei∫əs/]	[01* ttừ]\n- (hoá)(thuộc) cacbon; có cacbon\n- (địa) có than
carbonado [01/'kaibə;neidou/]	[01* dtừ] s/n [02carbonados]\n- thịt, cá nướng than trước khi nấu\n[01* ngđtừ]\n- nướng than thịt cá
carbonate [01/'kɑ:bənit/]	[01* dtừ]\n- (hoá) cacbonat
carbonated [01/'kɑ:bəneitid/]	[01* ttừ] (hóa học) có cacbonat\n[02= carbonated drinks] đồ uống có ga
carbonation	- xem [03carbonate] 
carbonator	như [03carbonation]
carbon-copy [01/'ka:bən'kɔpi/]	[01* dtừ]\n- bản sao bằng giấy than (chép tay, đánh máy) 
carbon-date	- xem [03carbon dating] 
carbonic [01/kɑ:'bɔnik/]	[01* ttừ]\n- cacbonic\n[02= carbonic acid] axit cacbonic\n[02= carbonic gas] khí cacbonic
carboniferous [01/,kɑ:bə'nifərəs/]	[01* ttừ]\n- có than, chứa than\n- (địa)(thuộc) kỷ cacbon; (thuộc) hệ cacbon\n-
carbonise [01/,kɑ:bənaiz/]	- xem [03carbonize] 
carbonization [01/,kɑ:bənai'zei∫n/]	[01* dtừ]\n- sự đốt thành than\n- (kỹ) sự cacbon hoá, sự pha cacbon; sự thấm cacbon\n- sự phết than (để làm giấy than) 
carbonize [01/'kɑ:bənaiz/]	[01* ngđtừ]\n- đốt thành than\n- (kỹ) cacbon hoá, pha cacbon; thấm cacbon\n- phết than (lên giấy để làm giấy than) 
carbonizer	như [03carbonise]
carbonous	- xem [03carbon] 
carbon-paper [01/'kɑ:bən,peipə/]	[01* dtừ]\n- giấy than
carbonyl [01/'ka:bənil/]	[01* dtừ]\n- (hoá) cacbonila
carbonylic [01/ka:bə'nilik/]	[01* ttừ]\n- thuộc carbonila
car-boot sale [01/'kɑ:bu:tseil/]	[01* dtừ]\n- sự bán đi những thứ không cần dùng nữa
carborundum [01/,kɑ:bə'rʌndəm/]	[01* dtừ]\n- carborundum
carboxyl [01/ka:'bɔksil/]	[01* dtừ]\n- (hoá) cacboxila
carboy [01/'kɑ:bɔi/]	[01* dtừ]\n- bình lớn có vỏ bọc ngoài (để đựng axit...) 
carbuncle [01/'kɑ:bʌηkl/]	[01* dtừ]\n- nhọt, cụm nhọt (trên mũi hay mặt)\n- ngọc granat đỏ
carbuncled [01/'kɑ:bʌηkld/]	[01* ttừ]\n- có nhọt, có cụm nhọt\n[02= carbuncled nose] mũi sủi đỏ lên\n- trang sức bằng ngọc granat đỏ
carbuncular [01/kɑ:'bʌηkjulə/]	[01* ttừ]\n- lắm nhọt, lắm cụm nhọt\n- đỏ rực, màu ngọc granat đỏ
carburation [01/ka:bju'rei∫ən/]	[01* dtừ]\n- sự thấm cacbon (cho sắt) 
carburet [01/'kɑ:bjuret/]	[01* ngđtừ]\n- pha cacbon; cho hoá hợp với cacbon\n[04! carburetted water gas]\n- khí than ướt
carburetion	- xem [03carburet] 
carburetor [01/'kɑ:bəreitə/]	[01* dtừ]\n- (kỹ) bộ chế hoà khí; cacbuaratơ
carburetter [01/'kɑ:bjuretə/]	như [03carburettor]
carburettor [01/,kɑ:bə'retə/]	[01* dtừ]\n- (kỹ) cacbuaratơ, bộ chế hoà khí
carcajou [01/'ka:kədʒu:/]	[01* dtừ]\n- [01* đtừ]\n- con lửng Mỹ
carcanet [01/'ka:kənet, 'ka:kənit/]	[01* dtừ]\n- (từ cổ)(nghĩa cổ) vòng ngọc đeo ở cổ tay hay trên đầu
carcase [01/'kɑ:kəs/]	như [03carcass]
carcass [01/'kɑ:kəs/]	[01* dtừ]\n- xác súc vật; uồm thây\n- xác (nhà, tàu... bị cháy, bị đổ nát hư hỏng)\n- thân súc vật đã chặt đầu moi ruột (để đem pha)\n- puốm thân xác\n[02= to save one's carcase] giữ được cái thần xác; cứu được cái mạng mình\n[02= to feed one's carcase] nuôi cái thân xác\n- khung, sườn (nhà tàu...)\n- (qsự) đạn phóng lửa\n[04! carcass meat]\n- thịt tươi, thịt sống (đối lại với thịt ướp, thịt hộp) 
carcinogen [01/kɑ:'sinədʒən/]	[01* dtừ]\n- (y) chất sinh ung thư
carcinogenesis	- xem [03carcinogen] 
carcinogenic [01/,kɑ:sinə'ʤenik/]	như [03carcinogenesis]
carcinogenicity	như [03carcinogenesis]
carcinoid [01/'ka:sinɔid/]	[01* dtừ]\n- hạch có dạng ung thư
carcinology [01/,ka:si'nɔlədʒi/]	[01* dtừ]\n- ung thư học
carcinoma [01/,kɑ:si'noumə/]	[01* (bất qui tắc) dtừ] s/n [03carcinomata]\n- (y) ung thư biểu bì
carcinomata [01/,kɑ:si'noumətə/]	như [03carcinoma]
carcinomatoid	- xem [03carcinoma] 
carcinomatosis [01/,ka:sinoumə'tousis/]	[01* dtừ]\n- tình trạng ung thư biểu bì
carcinomatous	như [03carcinomatoid]
carcinotron	- (kỹ) đèn sóng ngược, cacxiotron
