foveola [01/fɔ'vi:ɔlə/]	như [03foveolae]
foveolae [01/fɔ'vi:ɔlə/]	[01* dtừ] s/n [03foveolae]\n- giải có h
foveolate [01/'fouviəlit/]	như [03foveolated]
foveolated [01/'fouvjəlitid/]	[01* ttừ]\n- giải có hố nh
fowl [01/faul/]	[01* dtừ]\n- gà, thịt gà\n- (hiếm) chim; thịt chim (chỉ còn dùng trong kết hợp fish, flesh fowl cá, thịt chim)\n[01* nđtừ]\n- bắn chim; đánh bẫy chin
fowl pest [01/'faulpest/]	[01* dtừ]\n- dịch chết toi của gà
fowler [01/'faulə/]	[01* dtừ]\n- người bắn chim; người đánh bẫy chin
fowling [01/'fauliη/]	[01* dtừ]\n- sự bắn chim; sự đánh bẫy chin
fowling-piece [01/'fauliηpi:s/]	[01* dtừ]\n- súng bắn chim
fowl-run [01/'faulrʌn/]	[01* dtừ]\n- sân nuôi gà vịt, nơi nuôi gà vịt
fox [01/fɔks/]	[01* dtừ]\n- (động vật) con cáo\n- bộ da lông cáo\n- người xảo quyệt; người láu cá, người ranh ma\n- (thiên văn) chòm sao con Cáo (ở phương bắc)\n- (Mỹ),(lóng) sinh viên năm thứ nhất\n[04! to set a fox to kee(one's geese]\n- nuôi ong tay áo\n[01* ngđtừ]\n- (lóng) dùng mưu mẹo để đánh lừa, dở trò láu cá để đánh lừa\n- làm (cho những trang sách...) có những vết ố nâu (như lông cáo)\n- làm chua (bia...) bằng cách cho lên men\n- (Mỹ) vá mũi (giày) bằng miếng da mới\n[01* nđtừ]\n- dùng mưu mẹo; dở trò xảo quyệt, dở trò láu cá để đánh lừa\n- có những vết ố nâu (trang sách)\n- bị chua vì lên men (bia...) 
fox-brush [01/'fɔksbrʌ∫/]	[01* dtừ]\n- đuôi cáo
fox-burrow [01/'fɔk'bʌrou/]	[01* dtừ]\n- hang cáo
fox-chase [01/'fɔkst∫eiz/]	[01* dtừ]\n- sự săn cáo
fox-cub [01/'fɔkskʌb/]	[01* dtừ]\n- con cáo con
fox-earth [01/'fɔksə:θ/]	như [03fox-burrow]
foxglove [01/'fɔksglʌv/]	[01* dtừ]\n- (thực vật) cây mao địa hoàng
foxhole [01/'fɔkshoul/]	[01* dtừ]\n- (qsự) hố cá nhân
foxhound [01/'fɔkshaund/]	[01* dtừ]\n- chó săn cáo
foxhunt [01/'fɔkshʌnt/]	[01* dtừ]\n- sự săn cáo bằng chó\n[01* nđtừ]\n- săn cáo bằng ch
foxhunter [01/'fɔks,hʌntə/]	[01* dtừ]\n- người săn cáo bằng ch
foxhunting [01/'fɔks,hʌntiη/]	[01* dtừ]\n- (thể thao) môn săn cáo bằng chó\n[01* ttừ]\n- (thể thao)(thuộc) môn săn cáo bằng ch
foxiness [01/'fɔksinis/]	[01* dtừ]\n- tính xảo quyệt, tính láu cá
foxlike [01/'fɔkslaik/]	[01* ttừ]\n- như cáo\n- xảo quyệt, láu cá
foxship [01/'fɔks∫ip/]	[01* dtừ]\n- tính gian xảo
fox-sleep [01/'fɔksli:p/]	[01* dtừ]\n- giấc ngủ giả vờ
foxtail [01/'fɔksteil/]	[01* dtừ]\n- đuôi cáo\n- (thực vật) cỏ đuôi cáo
fox-terrier [01/'fɔks,teriə/]	[01* dtừ]\n- (động vật) chó sục cáo (lông ngắn và mượt, thường nuôi để chơi hơn là để đi săn) 
fox-trap [01/'fɔkstræp/]	[01* dtừ]\n- bẫy cáo
foxtrot [01/'fɔkstrɔt/]	[01* dtừ]\n- điệu nhảy fôctrôt\n[01* nđtừ]\n- nhảy fôctrôt
foxy [01/'fɔksi/]	[01* ttừ]\n- như cáo; xảo quyệt, láu cá\n- có màu nâu đậm\n- có vết ố nâu (trang sách)\n- bị nấm đốm nâu (cây)\n- bị chua vì lên men (rượu...) 
foyer [01/'fɔiei/]	[01* dtừ]\n- phòng giải lao (trong rạp hát) 
fpa [01/,ef pi: 'ei/]	[01* (vt)]\n- hội kế hoạch hoá gia đình ([03Family Planning Association]) 
Fr	- (vt)(tôn giáo) [03Father] + cha\n[02= Fr Paul Black] Cha Paul Black; French người Pháp; tiếng Pháp; fr (vt) franc(s) đồng tiền Pháp
fra [01/fra:/]	[01* dtừ]\n- người anh; tên hiệu chỉ tu sĩ Italia
fracas [01/'frækɑ:/]	[01* dtừ] s/n [03fracas]\n- cuộc câi lộn ầm ĩ, cuộc ẩu đã ầm ĩ
fractal	- (kỹ) phân dạng; phép toán tạo hình phân dạng
fractile	- (thống kê) điểm phân vị
fractinal	- (thuộc) phân số, bộ phận
fraction [01/'fræk∫n/]	[01* dtừ]\n- (toán) phân số\n- phần nhỏ, miếng nhỏ\n- (tôn giáo) sự chia bánh thánh
fractional [01/'fræk∫ənl/]	[01* ttừ]\n- (thuộc) phân số\n- (hoá) phân đoạn\n[02= fractional distillation] sự cắt phân đoạn\n- (tục) rất nhỏ bé, bé li ti
fractional dimension	- (kỹ) chiếu từng phần
fractional part	- (kỹ) phần số lẻ, phần phân số
