copernicanism	[01* dtừ]\n- thuyết Copecnic
cope-stone [01/'koupstoun/]	[01* dtừ]\n- (như) [03coping-stone]\n- công việc cuối cùng, phần việc cuối cùng; nét sửa sang cuối cùng (để hoàn thành một công việc)\n[02= to put the cope-stone to one's work] làm xong phần cuối cùng của công việc, hoàn thành công tác
cophasal	- (kỹ) đồng vị tướng
cophased	- (kỹ) được đồng vị tướng
copier [01/'kɔpiə/]	[01* dtừ]\n- người sao lục, người chép lại\n- người bắt chước, người mô phỏng
co-pilot [01/kou'pailət/]	[01* dtừ]\n- phi công phụ trên máy bay
coping [01/'koupiη/]	[01* dtừ]\n- (kiến trúc) mái tường, đầu tường (phần trên cùng của tường) 
coping-stone [01/'koupiηstoun/]	[01* dtừ]\n- (kiến trúc) đá mái tường, đá đầu tường ((cũng) [03cope-stone] ) 
copious [01/'koupiəs/]	[01* ttừ]\n- phong phú, dồi dào, hậu hỉ\n[02= copious language] ngôn ngữ phong phú
copiously [01/'koupiəsli/]	[01* phtừ]\n- dồi dào, phong phú
copiousness [01/'koupjəsnis/]	[01* dtừ]\n- sự phong phú, sự dồi dào, sự hậu hỉ
co-plaintiff [01/kou'pleintif/]	[01* dtừ]\n- người cùng kiện
coplaintiff [01/kou'pleitif/]	[01* dtừ]\n- người chung đơn kiện
coplanar [01/'koupleinə/]	- đồng phẳng
coplanar process	- (kỹ) phương pháp đồng diện
coplanarity [01/kouplei'næriti/]	[01* dtừ]\n- tính đồng phẳng
copolymer [01/kou'pɔlimə/]	[01* dtừ]\n- (hoá) chất đồng trùng hợp
copolymerization [01/koupɔlimerai'zei∫n/]	[01* dtừ]\n- việc tạo thành chất đồng trùng hợp
copolymerize [01/kou'pɔliməraiz/]	[01* ngđtừ]\n- tạo thành chất đồng trùng hợp
cop-out	[01* dtừ]\n- <bóng> sự tránh né
copper (oxide) rectifier	- (kỹ) bộ chỉnh lưu (bằng) ôxit đồng
copper [01/'kɔpə/]	[01* dtừ]\n- (lóng) cảnh sát, mật thám, cớm\n- đồng (đỏ)\n- đồng xu đồng\n- thùng nấu quần áo bằng đồng; chảo nấu đồng\n- (tục) mồm, miệng, cổ họng\n[02= to have hot coppers] miệng khô như rang (vì uống nhiều rượu)\n[04! to cool one's coppers]\n- giải khát, uống cho mát họng\n[01* ttừ]\n- bọc đồng (đáy tàu) ; mạ đồng\n- bằng đồng\n- có màu đồng\n[01* ngđtừ]\n- bọc đồng (đáy tàu) 
copper beech [01/'kɔpə bi:tʃ/]	như [03copper-beech]
copper conductor	- (kỹ) dây dẫn bằng đồng
copper oxide	- (kỹ) ôxit đồng
copperas [01/'kɔpərəs/]	[01* dtừ]\n- (hoá) sắt II sunfat kết tinh
copper-beech [01/'kɔpəbi:t∫/]	[01* dtừ]\n- cây ngô đồng
copper-bottomed [01/'kɔpə'bɔtəmd/]	[01* ttừ]\n- có đáy bọc đồng (tàu thuỷ) 
copper-coloured [01/'kɔpə'kʌləd/]	[01* ttừ]\n- màu đồng
copper-glance [01/'kɔpə,gla:ns/]	[01* dtừ]\n- (khoáng) chancocit
copperhead [01/'kɔpəhed/]	[01* dtừ]\n- (động vật) rắn hổ mang
copper-indian [01/'kɔpə'indiən/]	[01* dtừ]\n- người thổ dân châu Mỹ
copperplate [01/'kɔpəpleit/]	[01* dtừ]\n- bản khắc đồng để in\n[02= copperplate engraving] thuật khắc đồng
copperskin [01/'kɔpəpskin/]	[01* dtừ]\n- người da đỏ (Mỹ) 
coppersmith [01/'kɔpəsmiθ/]	như [03copper-smith]
copper-smith [01/'kɔpəsmiθ/]	[01* dtừ]\n- thợ đúc đồ đồng
