advehent [01/æd'vehənt/]	như [03homocentric]
advene [01/ædvi:n/]	[01* nđtừ]\n- đến
advent [01/'ædvənt/]	[01* dtừ]\n- sự đến, sự tới (của một sự việc gì quan trọng)\n- Advent (tôn giáo) sự giáng sinh của Chúa Giêxu\n- Advent (tôn giáo) kỳ trông đợi (bốn tuần lễ trước ngày giáng sinh của Chúa) 
adventism [01/'ædventizm/]	[01* dtừ]\n- chúa sắp tái giáng sinh
adventist [01/'ædvəntist,əd'ventist/]	[01* dtừ]\n- tín đồ tin rằng sắp đến lần Giáng sinh thứ hai của Chúa
adventitia [01/ædven'ti∫iə/]	[01* dtừ]\n- vỡ mạch máu
adventitious [01/,ædven'ti∫əs/]	[01* ttừ]\n- ngẫu nhiên, tình cờ\n- ngoại lai\n- (pháp lý) không do thừa kế trực tiếp\n- (thực vật) tự sinh, mọc tự nhiên (cây...)\n- (thực vật) bất định, không phát sinh ở nơi thông thường\n[02= adventitious bud] chồi bất định
adventitiously	- xem [03adventitious] 
adventitiousness [01/,ædven'ti∫əsnis/]	[01* dtừ]\n- tính ngẫu nhiên, tính tình cờ\n- tính chất ngoại lai
adventure [01/əd'vent∫ə/]	[01* đtừ]\n- phiêu lưu, mạo hiểm, liều\n[02= to adventure to do something] liều làm việc gì\n[02= to adventure one's life] liều mạng\n- dám đi, dám đến (nơi nào...)\n- dám tiến hành (cuộc kinh doanh...)\n[01* dtừ]\n- sự phiêu lưu, sự mạo hiểm; việc làm mạo hiểm, việc làm táo bạo\n[02= stories of adventures] những truyện phiêu lưu\n- sự nguy hiểm, sự hiểm nghèo\n- sự việc bất ngờ\n[02= to meet with an adventure] gặp một sự việc bất ngờ\n- sự may rủi, sự tình cờ\n[02= if, by adventure,you come across him] nếu tình cờ anh có gặp hắn\n- (thương nghiệp) sự đầu cơ
adventure playground [01/əd'vent∫ə,pleigraund/]	[01* dtừ]\n- sân chơi có nhiều đồ chơi bằng gỗ và kim loại
adventurer [01/əd'vent∫ərə/]	[01* dtừ]\n- người phiêu lưu, người mạo hiểm, người thích phiêu lưu mạo hiểm\n- (thương nghiệp) người đầu cơ\n- kẻ đại bợm, kẻ gian hùng\n- kẻ sẵn sàng sung vào quân đội đánh thuê (cho bất cứ nước nào để kiếm tiền) 
adventuresome [01/əd'ventʃəsəm/]	[01* ttừ]\n- (hiếm)(như) [03adventurous] 
adventuress [01/əd'vent∫əris/]	[01* dtừ]\n- người đàn bà thích phiêu lưu mạo hiểm\n- mụ đầu cơ\n- mụ đại bợm, mụ gian hùng
adventurism [01/əd'vent∫ərizm/]	[01* dtừ]\n- chủ nghĩa phiêu lưu
adventurist	- xem [03adventurism] 
adventurous [01/əd'vent∫ərəs/]	như [03venturous]
adventurously [01/əd'vent∫ərəsli/]	[01* phtừ]\n- liều lỉnh, mạo hiểm
adventurousness [01/əd'vent∫ərəsnis/]	[01* dtừ]\n- tính phiêu lưu, tính mạo hiểm\n- tính liều lĩnh
adverb [01/'ædvə:b/]	[01* dtừ]\n- (ngôn) phó từ
adverbe	[01* dtừ]\n- (ngôn ngữ) phó từ
adverbial [01/əd'və:bjəl/]	[01* ttừ]\n- (ngôn)(thuộc) phó từ; có tính chất phó từ
adverbially [01/əd'və:bjəli/]	[01* phtừ]\n- như một phó từ, theo cách thức của một phó từ
adversary [01/'ædvəsəri/]	[01* dtừ]\n- kẻ địch, kẻ thù; đối phương, đối thủ
adversative [01/əd'və:setiv/]	[01* ttừ]\n- (ngôn) đối lập
adversatively	- xem [03adversative] 
adverse [01/'ædvə:s/]	[01* ttừ]\n- đối địch, thù địch, nghịch lại, chống đối\n[02= adverse elements] những phần tử chống đối\n[02= the adverse party] đối phương; bên địch\n- bất lợi, có hại\n[02= adverse to health] có hại cho sức khoẻ\n- ngược\n[02= adverse wind] gió ngược\n[02= to be adverse toi someone's interests] ngược lại với quyền lợi của ai\n- bên kia, đối diện\n[02= adverse page] trang bên kia
adversely [01/'ædvə:sli/]	như [03detrimentally]
adverseness	- xem [03adverse] 
adversity [01/əd'və:siti/]	[01* dtừ]\n- sự bất hạnh; vận đen, vận rủi; cảnh nghịch, vận nghịch\n- tai hoạ, tai ương
advert [01/'ædvə:t/]	[01* nđtừ]\n- ám chỉ (nói hoặc viết) ; nói đến, kể đến\n- tai hoạ, tai ương
advertence [01/əd'və:təns/]	như [03advertency]
advertency [01/əd'və:tənsi/]	[01* dtừ]\n- sự chú ý, sự lưu ý
advertent [01/əd'və:tənt/]	[01* ttừ]\n- lưu ý; chú ý đến
advertise [01/'ædvətaiz/]	[01* đtừ]\n- báo cho biết, báo cho ai biết trước\n[02= to advertise someone of something] báo cho ai biết trước cái gì đó\n[02= to advertise someone that...] báo cho ai biết rằng...\n- quảng cáo (hàng)\n- đăng báo; yết thị; thông báo (cho mọi người biết)\n[02= to advertise for something] đăng báo tìm cái gì
advertisement [01/əd'və:tismənt,,ædvə'taizmənt/]	[01* dtừ]\n- sự quảng cáo; bài quảng cáo (trên báo, trên đài...)\n- tờ quảng cáo; tờ yết thị; tờ thông báo (dán trên tường...)\n[04! advertisement column]\n- cột quảng cáo, mục quảng cáo
advertiser [01/'ædvətaizə/]	[01* dtừ]\n- người báo cho biết trước\n- người quảng cáo; báo đăng quảng cáo; tờ quảng cáo
advertising [01/'ædvətaiziη/]	[01* dtừ]\n- sự quảng cáo, nghề quảng cáo
advertize [01/'ædvətaiz/]	như [03advertise]
advice [01/əd'vais/]	[01* dtừ]\n- lời khuyên, lời chỉ bảo\n[02= to act on advice] làm (hành động) theo lời khuyên\n[02= to take advice] theo lời khuyên, nghe theo lời khuyên\n[02= a piece of advice] lời khuyên\n- ((thường) số nhiều) tin tức\n[04! according to our latest advices]\n- theo những tin tức cuối cùng chúng tôi nhận được\n- (số nhiều)(thương nghiệp) thư thông báo ((cũng) [03letter of advice] ) 
advisability [01/əd,vaizə'biliti/]	[01* dtừ]\n- tính chất nên, tính chất thích hợp, tính chất đáng theo\n- tính chất khôn, tính chất khôn ngoan
advisable [01/əd'vaizəbl/]	[01* ttừ]\n- nên, thích hợp, đáng theo\n[02= I do not think it advisable for you to go] tôi nghi advisable là anh không nên đi\n- khôn, khôn ngoan
advisableness [01/əd'vaizəblnis/]	như [03advisability]
advisably	- xem [03advisable] 
advise [01/əd'vaiz/]	[01* ngđtừ]\n- khuyên, khuyên bảo, răn bảo\n- (thương nghiệp) báo cho biết\n[02= to advise someone of something] báo cho ai biết việc gì\n[01* ngđtừ]\n- hỏi ý kiến\n[02= to advise with someone] hỏi ý kiến người nào
