auriularia [01/,ɔ:ri'kjulæriə/]	như [03actinula]
aurochs [01/'ɔ:rɔks/]	[01* dtừ]\n- (động vật) bò rừng Châu âu
aurora [01/ɔ:'rɔ:rə/]	[01* dtừ]\n- Aurora nữ thần Rạng đông\n- ánh hồng lúc bình minh, ánh ban mai (trên bầu trời)\n- cực quang\n[02= aurora borealis] bắc cực quang\n[02= aurora australis] nam cực quang
auroral [01/ɔ:'rɔ:rəl/]	[01* ttừ]\n- (thuộc) bình minh, (thuộc) rạng đông\n- ửng hồng, ánh hồng (như ánh mặt trời lúc rạng đông)\n- (thuộc) cực quang (nam cực quang, bắc cực quang) 
auroral zone propagation	- (kỹ) truyền lan vùng cực quang
aurorally	- xem [03aurora] 
aurorean	như [03aurorally]
auscultate [01/'ɔ:skəlteit/]	[01* đtừ]\n- (y) nghe bệnh
auscultation [01/,ɔ:skəl'tei∫n/]	[01* dtừ]\n- (y) sự nghe bệnh
auscultative	- xem [03auscultate] 
auscultatory	như [03auscultative]
auspicate [01/'ɔ:spikeit/]	[01* ngđtừ]\n- bắt đầu, khai trương (để lấy may cho công việc...)\n[01* nđtừ]\n- báo điềm
auspice [01/'ɔ:spis/]	[01* dtừ]\n- (số nhiều) sự che chở, sự bảo hộ, sự bảo trợ\n[02= under the auspices of] được sự che chở của\n- điềm hay, điềm lành, điềm tốt\n[02= under favourable auspices] có những điềm tốt\n- thuật bói chim (xem chim để bói) 
auspices [01/'ɔ:spisiz/]	[01* dtừ]\n- (under the auspices of somebody / something) được ai/cái gì che chở và ủng hộ; có ai/cái gì đỡ đầu\n- to set up a business under the auspices of a government aid scheme\n- bắt đầu công việc kinh doanh dưới sự bảo trợ của chương trình viện trợ của chính phủ\n[02= under favourable auspices] có triển vọng thuận lợi; có điềm lành\n- thuật bói chim (xem) chim để bói
auspicious [01/ɔ:s'pi∫əs/]	[01* ttừ]\n- có điềm tốt, điềm lành; thuận lợi\n- thịnh vượng
auspiciously	- xem [03auspicious] 
auspiciousness [01/ɔ:s'pi∫əsnis/]	[01* dtừ]\n- sự có điềm tốt, sự có điềm lành; sự thuận lợi\n- sự thịnh vượng
aussie [01/'ɔzi/]	[01* ttừ]\n- (tục) có quê quán ở Uc\n[01* dtừ]\n- (tục) người Uc
austenite [01/'ɔ:stənait/]	[01* dtừ]\n- (khoáng) Auxtenit
austere [01/ɔ:s'tiə/]	[01* ttừ]\n- nghiêm khắc, khắt khe, chặt chẽ\n- mộc mạc, chân phương\n- khắc khổ, khổ hạnh; giản dị một cách khắc khổ\n- chát (vị) 
austerely [01/ɔ:s'tiəli/]	[01* phtừ]\n- khổ hạnh, khắc khổ
austereness [01/ɔ:s'tiənis/]	[01* dtừ]\n- sự nghiêm khắc, sự khắt khe, sự chặt chẽ\n- sự mộc mạc, sự chân phương\n- sự khắc khổ, sự khổ hạnh; sự giản dị khắc khổ\n- vị chát
austerity [01/ɔ:s'teriti/]	như [03austereness]
austral [01/'ɔ:strəl/]	[01* ttừ]\n- nam
