entomostracous [01/entə'mɔstrəkəs/]	[01* ttừ]\n- xem [03entomostracan] 
entomotomy [01/,entə'mɔtəmi/]	[01* ttừ]\n- (động vật) giải phẫu sâu bọ
entoparasite [01/,entə'pærəsait/]	[01* dtừ]\n- (động vật) vật ký sinh trong
entophyte [01/'entəfait/]	[01* dtừ]\n- (thực vật) thực vật ký sinh trong
entophytic [01/entə'fitik/]	[01* ttừ]\n- thuộc thực vật ký sinh trong
entopia [01/en'tɔpiə/]	[01* dtừ]\n- sự đúng vị trí (bình (thường)) 
entopic [01/en'tɔpik/]	[01* ttừ]\n- đúng vị trí (bình (thường)) 
entoplasm [01/'entəplæzm/]	[01* dtừ]\n- (sinh học) nội chất, nội tương
entoptic [01/in'tɔptik/]	[01* ttừ]\n- (y) trong mắt
entorganism [01/ent'ɔ:gənizm/]	[01* dtừ]\n- sinh vật ký sinh trong cơ thể
entotic [01/en'toutik/]	[01* ttừ]\n- thuộc tai trong; trong tai
entotympanic [01/entətim'pænik/]	[01* dtừ]\n- màng nhĩ rời
entourage [01/,ɔntu'rɑ:ʒ/]	[01* dtừ]\n- vùng lân cận, vùng xung quanh\n- những người tuỳ tùng
en-tout-cas [01/,ɒηtu'kɑ:/]	[01* dtừ]\n- ô tô, dù to\n- sân quần vợt cứng
entozoa [01/,entə'zouɔn/]	[01* dtừ] s/n [03entozoa]\n- (động vật) động vật ký sinh trong
entozoical [01/entə'zouik(əl) /]	[01* ttừ]\n- cũng [03entozoic]\n- sống trong động vật, sống trong thực vật
entozoon [01/,entə'zouɔn/]	như [03entozoa]
entr'acte [01/ɔn'trækt/]	[01* dtừ]\n- giờ nghỉ (trong buổi biểu diễn)\n- tiết mục diễn trong lúc nghỉ
entrails [01/'entreilz/]	[01* dtừ s/n]\n- ruột\n- lòng (trái đất...) 
entrain [01/in'trein/]	[01* ngđtừ]\n- cho (quân đội...) lên xe lửa\n[01* nđtừ]\n- lên xe lửa (quân đội...) 
entrainer	- xem [03entrain] 
entrainment	như [03entrainer]
entrammel [01/in'træməl/]	[01* ngđtừ]\n- làm mắc míu, làm vướng víu
entrance [01/'entrəns/]	[01* dtừ]\n- sự đi vào\n- (sân khấu) sự ra (của diễn viên)\n- sự nhậm (chức...)\n- quyền vào, quyền gia nhập\n- tiền vào, tiền gia nhập ((cũng) [03entrance_fee] )\n- cổng vào, lối vào\n[01* ngđtừ]\n- làm xuất thần\n- làm mê li\n- mê hoặc (ai đén chỗ...)\n[02= to entrance someone to his destruction] mê hoặc ai đến chỗ làm cho người ta bị thất cơ lỡ vận
entrance cable	- (kỹ) cáp vào
entrance fee [01/'entrənsfi:/]	[01* dtừ]\n- tiền vào, tiền gia nhập ((cũng) [03entrance] ) 
entrance-hall [01/'entrəns hɔ:l/]	như [03antechamber]
entrancement [01/in'trɑ:nsmənt/]	[01* dtừ]\n- sự xuất thần\n- trạng thái mê ly
entrance-way [01/'entrəns wei/]	[01* dtừ]\n- lối đi vào
entrancingly	- xem [03entrance] 
entrant [01/'entrənt/]	[01* dtừ]\n- người vào (phòng...)\n- người mới vào (nghề...)\n- người đăng tên (dự thi...) 
entrap [01/in'træp/]	[01* ngđtừ]\n- đánh bẫy\n- lừa
entrapment	- xem [03entrap] 
entrapping [01/in'træpiη/]	[01* dtừ]\n- sự đặt bẫy, đánh bẫy
entre nous [01/ɔ:ηtrənu:/]	[01* phtừ] giữa chúng ta thôi; bí mật
entreasure [01/in'treʒə/]	[01* ngđtừ]\n- đưa vào kho tàng
entreat [01/in'tri:t/]	[01* ngđtừ]\n- khẩn nài, khẩn khoản, nài xin\n[02= to evil entreat] (kinh thánh) ngược đãi
entreatingly [01/in'tri:tiηli/]	[01* phtừ]\n- khẩn thiết, van nài
entreatment	- xem [03entreat] 
entreaty [01/in'tri:ti/]	[01* dtừ]\n- sự khẩn nài\n- lời cầu khẩn, lời nài xin
entrechat [01/,ɒ:ηtrə'∫ɑ:/]	[01* dtừ]\n- sự đập gót vào nhau nhiều lần (vũ ba lê) 
entrecote [01/,ɒ:ηtrə'kout/]	[01* dtừ]\n- miếng thịt sườn (xen giữa các xương sườn) 
entrée [01/'ɔntrei/]	[01* dtừ]\n- quyền vào, quyền gia nhập\n- món ăn đầu tiên
entremets [01/'ɔntrəmei/]	[01* dtừ]\n- món ăn giậm, món ăn phụ (xen vào giữa những món ăn chính) 
entrench [01/in'trent∫/]	[01* ngđtừ]\n- (qsự) đào hào xung quanh (thành phố, cứ điểm...)\n[02= to entrench oneself] cố thủ\n[01* nđtừ]\n- (hiếm)(+ upon) vi phạm
entrenching tool [01/in'trent∫iη'tu:l/]	[01* dtừ]\n- quân xẻng đào hầm
entrenchment [01/in'trent∫mənt/]	[01* dtừ]\n- (qsự) sự đào hào xung quanh (thành phố, cứ điểm...)\n- sự cố thủ
entrepot	[01* dtừ]\n- kho hàng; trung tâm xuất nhập khẩu, trung tâm tập trung và phân phối
entrepôt [01/'ɔntrəpou/]	[01* dtừ]\n- kho hàng\n- trung tâm xuất nhập khẩu, trung tâm tập trung và phân phối
entrepreneur [01/,ɔntrəprə'nə:/]	[01* dtừ]\n- người phụ trách hãng buôn\n- người thầu khoán
entrepreneurial [01/,ɔntrəprə'nə:riəl/]	[01* ttừ]\n- (thuộc) nghề thầu khoán
entrepreneurialism	như [03entrepreneurism]
entrepreneurism	- xem [03entrepreneur] 
entrepreneurship	như [03entrepreneurism]
entresol [01/'ɔntrəsɔl/]	[01* dtừ]\n- tầng xép (giữa tầng một và tầng hai) 
entrochite [01/'entrəkait/]	[01* dtừ]\n- (y) đốt thân
entropic	như [03entropically]
entropically	- xem [03entropy] 
entropion [01/en'troupiɔn/]	[01* dtừ]\n- (y) quân
entropy [01/'entrəpi/]	[01* dtừ]\n- (lý) entrôpi
entruck [01/in'trʌk/]	[01* ngđtừ]\n- chất tải lên ô tô
entrust [01/in'trʌst/]	[01* ngđtừ]\n- giao, giao phó cho
entrustment [01/in'trʌskmənt/]	[01* dtừ]\n- xem [03entrust] 
entry [01/'entri/]	[01* dtừ]\n- sự đi vào\n- (sân khấu) sự ra (của một diễn viên)\n- lối đi vào, cổng đi vào\n- (pháp lý) sự tiếp nhận\n- sự ghi vào (sổ sách) ; mục (ghi vào sổ)\n- mục từ (trong từ điển)\n- danh sách người thi đấu; sự ghi tên người thi đấu
entry field	- (kỹ) phạm vi nhập
entry instruction	- (kỹ) chỉ thị nhập vào
entry label	- (kỹ) nhãn nhập vào
entryism	[01* dtừ]\n- tập quán nhập vào một chính đảng để tác động đến nó từ bên trong
entryphone [01/'entrifoun/]	[01* dtừ]\n- điện thoại mắc ở lối vào các khu nhà tập thể, giúp khách liên hệ với chủ nhà trước khi vào
entry-point address	- (kỹ) địa chỉ điểm vào, địa chỉ xuất phát
entryway [01/'entriwei/]	như [03entrance-way]
entwine [01/in'twain/]	[01* ngđtừ]\n- bện, tết (đen & bóng)\n- ôm\n- quấn (cây leo) 
entwinement	- xem [03entwine] 
entwist [01/in'twist/]	[01* ngđtừ]\n- vặn xoắn
enucleate [01/i'nju:klieit/]	[01* ngđtừ]\n- (y) khoét nhân\n- giải thích, làm sáng tỏ
enucleation [01/i,nju:kli'ei∫n/]	[01* dtừ]\n- (y) thủ thuật khoét nhẫn\n- sự giải thích, sự làm sáng tỏ
enucleator	- xem [03enucleate] 
enumaerator	- người đếm, người đánh số
enumerate [01/i'nju:məreit/]	[01* ngđtừ]\n- đếm; kê; liệt kê
enumeration [01/i,nju:mə'rei∫n/]	[01* dtừ]\n- sự đếm; sự kể; sự liệt kê\n- bản liệt kê
enumerative [01/i'nju:mərətiv/]	[01* ttừ]\n- để đếm; để kể; để liệt kê
enumerator [01/i'nju:məreitə/]	[01* dtừ]\n- người đếm; người kê; người liệt kê
enumeratory [01/i'nʌnsieitəri/]	[01* ttừ]\n- xem [03enunciate] 
enumerble	- đếm được
enunciable	- xem [03enunciate] 
enunciate [01/i'nʌnsieit/]	[01* ngđtừ]\n- đề ra, nói ra, phát biểu (một quan điểm...)\n- phát âm (một từ) 
enunciation [01/i,nʌnsi'ei∫n/]	[01* dtừ]\n- sự đề ra, sự nói ra, sự phát biểu\n- (toán) đề\n- sự phát âm (một từ) 
enunciative [01/i'nʌn∫iətiv/]	[01* ttừ]\n- để đề ra
enunciatively	như [03enunciable]
enunciator [01/i'nʌnsieitə/]	[01* dtừ]\n- người đề ra, người nói ra
enure [01/i'njuə/]	[01* ngđtừ]\n- làm cho quen\n[02= to inure someone to hardship] làm cho quen với sự gian khổ\n[01* nđtừ]\n- (pháp lý) có hiệu lực, có tác dụng\n- có lợi\n[02= to serve common interest inures to one's own] phục vụ quyền lời chung, có lợi cho quyền lợi riêng
enuresis [01/,enju:'ri:sis/]	[01* dtừ]\n- (y) chứng đái dầm
enuretic	- xem [03enuresis] 
enveigle [01/in'veigl/]	[01* ngđtừ]\n- xem [03inveigle] 
envelop [01/in'veləp/]	[01* ngđtừ]\n- bao, bọc, phủ\n- (qsự) tiến hành bao vây
envelope [01/'enviloup/]	[01* dtừ]\n- bao, bọc bì; phong bì\n- (toán) hình bao, bao\n- vỏ bọc (khí cầu) ; bầu khí (khí cầu)\n- (sinh vật) màng bao, vỏ bao
envelope delay	- (kỹ) sự trì hoãn đường bao
envelope delay distortion	- (kỹ) biến dạng trì hoãn đường bao
envelope detector	- (kỹ) bộ kiểm sóng đường bao
enveloper	- xem [03envelop] 
enveloping [01/'enveləpiη/]	[01* ttừ]\n- bao, bao bọc\n[04! enveloing movement]\n- (qsự) sự điều quân bao cây
envelopment [01/'enveləpmənt/]	[01* dtừ]\n- sự bao, sự bao bọc, sự bao phủ\n- vỏ bao, vỏ bọc; màng bao, màng bọc
envenom [01/in'venəm/]	[01* ngđtừ]\n- bỏ thuốc độc vào; tẩm thuốc độc\n- đầu độc (tâm hồn...)\n- làm thành độc địa (lời lẽ, hành động...) 
