king's evil [01/'kiηz'i:vl/]	như [03scrofula]
king's peg [01/'kiηzpeg/]	[01* dtừ]\n- cốc rượu sâm banh pha cônhắc
king's ransom [01/'kiηz'rænsəm/]	[01* dtừ]\n- món tiền lớn
kingship [01/'kiη∫ip/]	[01* dtừ]\n- địa vị làm vua\n- vương quyền
king-size [01/'kiηsaiz/]	[01* dtừ]\n- cỡ lớn, cỡ to hơn cỡ thông thường
king-sized [01/'kiηsaizd/]	[01* ttừ]\n- có cỡ lớn, có cỡ to hơn cỡ thông thường
kingwood [01/'kiηwud/]	[01* dtừ]\n- gỗ Braxin cứng và đẹp
kink [01/kiηk/]	[01* dtừ]\n- nút, chỗ thắt nút; chỗ xoắn (ở dây, dây cáp...)\n- sự lệch lạc (về tư tưởng, tính nết...)\n- (Mỹ) tính lập dị; tính đỏng đảnh\n- (Mỹ) cái mắc mớ gây khó khăn cho công việc\n- chứng vẹo cổ\n[01* đtừ]\n- thắt nút; xoắn lại (dây...) 
kinkajou [01/'kiηkədʒu:/]	[01* dtừ]\n- (động vật) gấu trúc potôt
kinkily	- xem [03kinky] 
kinkiness [01/'kiηkinis/]	[01* dtừ]\n- sự quăn, sự xoắn (tóc)\n- (tục) tính lập dị; tính đỏng đảnh
kinky [01/'kiηki/]	[01* ttừ]\n- quăn, xoắn (tóc)\n- (tục) lập dị; đỏng đảnh
kinless [01/'kinlis/]	[01* ttừ]\n- không bà con, không thân thích; không gia đình
kinnikinnick [01/'kinikinik/]	[01* dtừ]\n- cũng [03kinnikinic]\n- sự pha trộn lá khô, vỏ cây và đôi khi cả thuốc lá dễ hút
kino [01/'ki:nou/]	[01* dtừ]\n- chất kinô (nhựa một số cây dùng làm thuốc và để thuộc da) 
kinsfolk [01/'kinzfouk/]	[01* dtừ]\n- những người trong gia đình; bà con anh em; họ hàng thân thích
kinship [01/'kin∫ip/]	[01* dtừ]\n- mối quan hệ họ hàng\n- sự giống nhau về tính chất
kinsman [01/'kinzmən/]	[01* dtừ]\n- người bà con (nam) 
kinswoman [01/'kinz,wumən/]	[01* dtừ]\n- người bà con (nữ) 
kintal [01/'kintl/]	[01* dtừ (cổ)]\n- (như) [03quintal] 
kiosk [01/'kiɔsk/]	như [03kiosque]
kiosque [01/'kiɔsk/]	[01* dtừ]\n- quán (bán sách, giải khát...)\n- buồng điện thoại công cộng
kiowa [01/'kaiəwə/]	[01* dtừ] s/n [02kiowas, kiowa]\n- người Ki-ô-oa (da đỏ ở Bắc Mỹ)\n- ngôn ngữ của người Ki-ô-oa
kip [01/kip/]	[01* dtừ]\n- da súc vật non (cừu, bê...)\n- (Mỹ) kíp (đơn vị trọng lượng bằng 453, 59 kg)\n- (lóng) nhà trọ\n- chỗ ở\n- giường\n[01* nđtừ]\n- ngủ
kipper [01/'kipə/]	[01* dtừ]\n- cá trích muối hun khói\n- cá hồi đực trong mùa đẻ\n- (lóng) gã, chàng trai\n- (qsự),(lóng) ngư lôi\n[01* ngđtừ]\n- ướp muối và hun khói (cá trích, cá hồi...) 
kipper tie [01/'kipətai/]	[01* dtừ]\n- cà vạt rất rộng (đặc biệt thịnh hành vào những năm 1980) 
kir [01/kiə/]	[01* dtừ]\n- rượu vang trắng lẫn với rượu màu
kirk [01/kə:k/]	[01* dtừ]\n- (Ê-cốt) nhà thờ; giáo hội\n[02= the Kirk of Scotland] nhà thờ Ê-cốt
kirman [01/kiə'ma:n/]	[01* dtừ]\n- thảm Ba-tư
kirmess [01/'kə:mis/]	[01* dtừ]\n- kéc-mét (chợ phiên hoặc hội hè) 
kirsch [01/'kiə∫/]	như [03kirschwasser]
kirschwasser [01/'kiə∫,vɑ:sə/]	[01* dtừ]\n- rượu anh đào dại
kirtle [01/'kə:tl/]	[01* dtừ (cổ)]\n- áo dài\n- váy
kismet [01/'kismet/]	[01* dtừ]\n- số phận, số mệnh
kiss [01/kis/]	[01* dtừ]\n- cái hôn\n- sự chạm nhẹ (của hai hòn bi-a đang lăn)\n- kẹo bi đường\n[04! to snatch (steal) a kiss]\n- hôn trộm\n[04! stolen kisses are sweet]\n- (tục ngữ) của ăn vụng bao giờ cũng ngon\n[01* ngđtừ]\n- hôn\n- (bóng) chạm khẽ, chạm lướt (sóng, gió)\n[02= the waves kiss the sand beach] sóng khẽ lướt vào bãi cát\n- chạm nhẹ (những hòn bi đang lăn)\n[04! to kiss away tears]\n- hôn để làm cho nín khóc\n[04! to hiss and be friends]\n- làm lành hoà giải với nhau\n[04! to kiss the book]\n- hôn quyển kinh thánh khi làm lễ tuyên thệ\n[04! to kiss the dust]\n- tự hạ mình, khúm núm quỵ luỵ\n- bị giết\n[04! to kiss good-bue]\n- hôn tạm biệt, hôn chia tay\n[04! to kiss the ground]\n- phủ phục, quỳ mọp xuống (để tạ ơn...)\n- (bóng) bị đánh bại, bị hạ, bị đánh gục\n[04! to kiss one's hand to someone]\n- vẫy vẫy gửi với một cái hôn tay với ai\n[04! to kiss hands (the hand)]\n- hôn tay (vua... khi nhậm chức hoặc khi yết kiến...)\n[04! to kiss the rod]\n- nhẫn nhục chịu đựng trừng phạt nhục hình
kiss of death	- cái hôn của tử thần
kissable [01/'kisəbl/]	[01* ttừ]\n- đáng hôn, trông muốn hôn
kiss-curl [01/'kiskə:l/]	[01* dtừ]\n- mớ tóc quăn (ở trán) 
kisser [01/'kisə/]	[01* dtừ]\n- người hôn\n- (Mỹ),(lóng) cái mồm; môi; cái mặt
kissing [01/'kisiη/]	[01* dtừ]\n- sự hôn; sự ôm hôn
kissing kind [01/'kisiɳkaind/]	[01* ttừ]\n- thân mật đén mức có thể ôm hôn
kiss-in-the-ring [01/'kisinđə'riη/]	[01* dtừ]\n- trò chơi chạy đuổi và hôn nhau (giữa trai gái) 
kiss-me-quick [01/'kismi'kwik/]	[01* dtừ]\n- mũ hớt (của phụ nữ, đội lui hẳn về phía sau đầu)\n- mớ tóc quăn (trên trán) 
kist [01/kist/]	[01* dtừ]\n- (phương ngữ) cái hòm, rương lớn (đựng quần áo, tư trang của cô dâu) 
kit [01/kit/]	[01* dtừ]\n- (vt) của [03kitten]\n- mèo con\n[01* dtừ]\n- thùng gỗ; chậu gỗ\n[01* dtừ]\n- (hiếm) đàn viôlông nhỏ\n[01* dtừ]\n- đồ đạc quần áo (của bộ đội...) ; hành lý (đi du lịch) ; đồ lề (đi săn bắn, đi câu...)\n- dụng cụ làm việc, bộ đồ nghề\n[02= a carpenter's kit] bộ đồ thợ mộc\n- túi đựng đồ đạc quần áo (của bộ đội...) ; túi (đầy)\n[04! the whole kit (and caboodle)]\n- cả bọn, cả lũ\n[01* đtừ]\n- trang bị đồ đạc quần áo; sắm sửa đồ lề\n- sắm sửa đồ nghề
kit bag	[01* dtừ]\n- túi quân trang, ba lô (của bộ đội) 
kit-bag [01/'kitbæg/]	[01* dtừ]\n- túi đựng đồ đạc quần áo (của bộ đội, của người đi du lịch...) 
kit-cat [01/'kitkæt/]	[01* dtừ]\n- Kit-cat Club câu lạc bộ của đảng Uých\n- hội viên câu lạc bộ đảng Uých\n[02= kit-cat portrait] chân dung nửa người (trông thấy cả hai bàn tay) 
kitchem-maid [01/'kitʃinmeid/]	[01* dtừ]\n- chị phụ bếp
kitchen [01/'kit∫in/]	[01* dtừ]\n- phòng bếp, nhà bếp
kitchen cabinet [01/'kit∫in,kæbinit/]	[01* dtừ]\n- nhóm cố vấn không chính thức cho người đứng đầu nhà nước
kitchen garden [01/'kit∫in'gɑ:dən/]	[01* dtừ]\n- vườn rau
kitchen midden [01/'kit∫in'midn/]	[01* dtừ]\n- (khảo cổ học) đống rác bếp
kitchen paper [01/'kit∫inpeipə/]	[01* dtừ]\n- giấy thấm nước dùng ở nhà bếp
kitchen physic [01/'kit∫in'fizik/]	[01* dtừ]\n- phương thuốc ăn (cứ ăn nhiều ăn tốt là khoẻ) 
kitchen police [01/'kit∫inpə'li:s/]	[01* dtừ]\n- (Mỹ),(qsự) nhóm nấu ăn, nhóm anh nuôi\n- công việc của nhóm nấu ăn
kitchen sink drama [01/'kit∫insiηk'drɑ:mə/]	[01* dtừ]\n- thể loại kịch hiện thực
kitchen unit [01/'kit∫in ju:nit/]	[01* dtừ]\n- đồ cố định của một nhà bếp hiện đại
kitchen ware [01/'kit∫inweə/]	[01* dtừ]\n- đồ dùng nấu bếp (nồi, chão...) 
kitchener [01/'kit∫inə/]	[01* dtừ]\n- lò nấu bếp\n- người nấu bếp (trong một tu viện) 
kitchenette [01/,kit∫i'net/]	[01* dtừ]\n- bếp nhỏ
kitchen-maid [01/'kit∫inmeid/]	[01* dtừ]\n- chị phụ bếpbếp
kitchen-range [01/'kit∫inreindʒ/]	[01* dtừ]\n- lò nấu bếp
kitchen-sink [01/'kit∫insiηk/]	[01* ttừ]\n- (nghệ thuật) miêu tả mặt vất vả, tối tăm trong cuộc sống hàng ngày
kitchen-stuff [01/'kit∫instʌf/]	[01* dtừ]\n- thức nấu ăn; rau
kitchen-wench [01/'kit∫inwent∫/]	như [03kitchem-maid]
kite [01/kait/]	[01* dtừ]\n- cái diều\n- (động vật) diều hâu\n- (bóng) kẻ tham tàn; kẻ bịp bợm, quân bạc bịp\n- (thương nghiệp),(lóng) văn tự giả; hối phiếu giả\n- (hàng hải) cánh buồm cao nhất (chỉ giương lên khi có gió nhẹ)\n- (qsự),(lóng) máy bay\n[04! to fly a kite]\n- thả diều\n- (bóng) thăm dò ý kiến\n- (thương nghiệp),(lóng) lấy tiền bằng văn tự giả; lấy tiền bằng hối phiếu giả\n[01* nđtừ]\n- bay lên như diều\n- (thương nghiệp),(lóng) lấy tiền bằng văn tự giả; lấy tiền bằng hối phiếu giả\n[01* ngđtừ]\n- làm bay lên như diều\n- (thương nghiệp),(lóng) chuyển thành văn tự giả; chuyển thành hối phiếu giả
kite-balloon [01/'kaitbə'lu:n/]	[01* dtừ]\n- (qsự) khi cầu thủ do thám
kite-flying [01/'kait,flaiiη/]	[01* dtừ]\n- sự thả diều\n- (bóng) sự thăm dò ý kiến\n- (thương nghiệp),(lóng) sự lấy tiền bằng văn tự giả; sự lấy tiền bằng hối phiếu giả
kitemark [01/'kaitmɑ:k/]	[01* dtừ]\n- dấu chứng nhận chất lượng hàng hoá
kith [01/kiθ/]	[01* dtừ]\n- bè bạn, người quen biết\n[02= kith and kin] bè bạn họ hàng
kitsch [01/kit∫/]	[01* dtừ]\n- vật hào nhoáng, nhưng không có giá trị thực sự
kitschify	- xem [03kitsch] 
kitschy	như [03kitschify]
kittchen [01/'kitʃin/]	[01* dtừ]\n- nhà bếp
kitten [01/'kitn/]	[01* dtừ]\n- mèo con\n- cô gái đỏng đảnh, cô gái õng ẹo\n[01* ngđtừ]\n- đẻ (mèo) 
kittenish [01/'kitni∫/]	[01* ttừ]\n- (thuộc) mèo con; như mèo con\n- đùa nghịch loăng quăng như mèo con\n- đỏng đảnh, õng ẹo (cô gái) 
kittenishly	- xem [03kittenish] 
kittenishness	như [03kittenishly]
kittiwake [01/'kitiweik/]	[01* dtừ]\n- (động vật) mòng biển xira
kittle [01/'kitl/]	[01* ttừ]\n- khó khăn, khó xử (vấn đề, trường hợp...)\n- khó tính, hay giận, khó chơi (người)\n[04! kittle cattle]\n- (bóng) những người khó chơi; những việc khó xử
kitty [01/'kiti/]	[01* dtừ]\n- nhuây khót vốn chung; vốn góp (đánh bài, hoặc làm việc gì...) 
kiva [01/'ki:və/]	[01* dtừ]\n- căn phòng một phần ở dưới đất dùng trong những buổi tế lễ (của người da đỏ ở Tây Nam nước Mỹ) 
kiwi [01/'ki:wi:/]	[01* dtừ]\n- (động vật) chim kivi\n- (hàng không),(lóng) nhân viên "không bay" (phụ trách các việc ở dưới đất)\n- kivi (tục) người Tân-tây-lan
kkk [01/,kei kei 'kei/]	- vt của [03Ku-Klux-Klan] 
klan [01/klæn/]	[01* dtừ]\n- xem [03kuklux klan] 
klansman [01/'klænzmən/]	[01* dtừ]\n- (Mỹ),(tục) đảng viên đảng 3K
klaxon [01/'klæksn/]	[01* dtừ]\n- còi điện (xe ô tô) 
kleenex [01/'kli:neks/]	[01* dtừ]\n- khăn giấy
