thrashing-mill [01/'θræ∫iηmil/]	[01* dtừ]\n- máy đập lúa\n- xem [03thrashing-machine] 
thread [01/θred/]	[01* dtừ]\n- chỉ, sợi chỉ, sợi dây\n[02= silk thread] chỉ tơ\n- (bóng) dòng, mạch\n[02= the thread of life] dòng đời, đời người\n[02= to lose the thread of one's argument] mất mạch lạc trong lập luận\n- đường ren\n- (địa) mạch nhỏ (quặng)\n[04! to have not a dry thread on one]\n- ướt sạch, ướt như chuột lột\n[04! life hung by a thread]\n- tính mệnh như treo đầu sợi tóc, tính mệnh như trứng treo đầu đẳng\n[01* ngđtừ]\n- xâu (kim...) ; xâu (hột ngọc...) thành chuỗi\n- (bóng) lách qua, len lỏi qua\n[02= to thread one's way through the crowd] lách qua đám đông\n- ren (đinh ốc) 
threadbare [01/'θredbeə/]	[01* ttừ]\n- mòn xơ cả chỉ, xác xơ\n[02= a threadbare coat] cái áo xác xơ\n- (bóng) cũ rích\n[02= a threadbare joke] một câu đùa cũ rích
thread-cutter [01/'θred'kʌtə/]	[01* dtừ]\n- máy ren (đinh ốc) 
threader [01/'θredə/]	[01* dtừ]\n- người xâu (kim, hột ngọc)\n- (kỹ) máy ren (đinh ốc) 
thread-gauge [01/'θredgeidʒ/]	[01* dtừ]\n- (kỹ) compa đo bước ren
threadlike [01/'θredlaik/]	[01* ttừ]\n- nhỏ như sợi chỉ
thread-mark [01/'θred'mɑ:k/]	[01* dtừ]\n- hình vẽ bóng (soi thấy được trên tờ giấy) 
threadworm [01/'θredwə:m/]	[01* dtừ]\n- (động vật) giun kim
thready [01/'θredi/]	[01* ttừ]\n- nhỏ như sợi chỉ\n- có lắm sợi
threat [01/θret/]	[01* dtừ]\n- sự đe doạ\n[02= there is a threat of rain] có cơn mưa đang đe doạ, trời muốn mưa\n- lời đe doạ, lời hăm doạ\n[02= empty threat] lời đe doạ suông\n[02= to utter threat against someone] doạ ai
