anuual	- hằng năm
anvil [01/'ænvil/]	[01* dtừ]\n- cái đe\n- (phẫu) xương đe\n[02= to be on the anvil] đang làm, đang xem xét, đang nghiên cứu\n[04! a good anvil does not fear the hammer]\n- (tục ngữ) cây ngay không sợ chết đứng\n[04! anvil chorus]\n- (Mỹ) tiếng đồng thanh la hò của những người phản đối
anvil-beak [01/'ænvilbi:k/]	[01* dtừ]\n- mũi đe
anvil-bed [01/'ænvilbed/]	[01* dtừ]\n- để đe
anvil-block [01/'ænvil'blɔk/]	như [03anvil-bed]
anxiety [01/æη'zaiəti/]	[01* dtừ]\n- mối lo, mối lo âu, mối băn khoăn; sự lo lắng\n[02= to be in a state of mortal anxiety] lo chết đi được\n- lòng ước ao, lòng khao khát; sự khắc khoải\n[02= to have an anxiety for something] ước ao cái gì\n[02= to have an anxiety to do something] ước ao làm gì
anxious [01/'æηk∫əs/]	[01* ttừ]\n- áy náy, lo âu, lo lắng, băn khoăn\n[02= to be anxious about something] lo âu, áy náy về cái gì\n[02= to be anxious for someone] lo lắng cho ai\n- ước ao, khao khát; khắc khoải\n[02= to be anxious for sommething] khát khao điều gì\n[02= to be anxious to do something] ước ao làm gì\n- đáng lo ngại, nguy ngập\n[02= an anxious moment] lúc nguy ngập\n[02= an anxious state of affairs] sự tình đáng lo ngại\n[02= to be on the anxious seat (bench)] bồn chồn sốt ruột như ngồi trên đống lửa
anxiously [01/'æηk∫əsli/]	[01* phtừ]\n- áy náy, lo âu, lo lắng, băn khoăn
anxiousness	- xem [03anxious] 
any	[01* ttừ]\n- một, một (người, vật) nào đó (trong câu hỏi)\n[02= have you any book(s) ?] anh có quyển sách nào không?\n- tuyệt không, không tí nào (ý phủ định)\n[02= I haven't any penny] tôi tuyệt không có đồng xu nào\n[02= to prevent any casualtry] tránh không bị thương tổn\n- bất cứ (ý khẳng định)\n[02= at any time] vào bất cứ lúc nào\n[02= you may ask any person about it] anh có thể hỏi bất cứ người nào về việc ấy\n[01* đại từ]\n- một, một người nào đó, một vật nào đó (trong câu hỏi)\n[02= is there any of them there?] có ai trong bọn họ ở đây không?\n- không chút gì, không đứa nào (ý phủ định)\n[02= I cannot find any of them] tôi không tìm thấy một đứa nào trong bọn chúng\n- bất cứ vật gì, bất cứ ai (ý khẳng định)\n[02= choose any of these books] anh có thể chọn bất cứ quyển nào trong những quyển sách này\n[01* phtừ]\n- một, chút nào, một tí nào (trong câu phủ định, câu hỏi dạng so sánh)\n[02= is that any better?] cái đó có khá hơn chút nào không?\n[02= I can't speak any plainer] tôi không thể nói rõ hơn được nữa\n- hoàn toàn\n[02= it did not matter any] vấn đề hoàn toàn không đáng kể; việc hoàn toàn chẳng có nghĩa lý gì
any more [01/'enimɔ:(r/]	[01* phtừ] (Mỹ anymore) không lâu hơn, xa hơn nữa; bây giờ, bắt đầu từ bây giờ\n[02= She doesn't live here any more] Bà ấy không sống ở đây nữa
any time [01/'enitaim/]	- bất cứ lúc nào\n[02= come round any time] cứ ghé bất cứ lúc nào
anybody [01/'enibɔdi/]	[01* dtừ]\n- (tục) một người nào đó\n[02= two or three anybodies] hai hoặc ba người nào đó\n[01* đại từ]\n- người nào, ai\n[02= is there anybody there?] có ai ở đó không?\n- bất kỳ ai, bất cứ ai\n[02= anybody else] bất kỳ người nào khác\n[02= he is not doing anybody any harm] hắn không làm hại gì cho ai cả\n[02= anybody would think him mad] bất kỳ ai cũng tượng nó điên\n- một người ít nhiều quan trọng
anyhow [01/'enihau/]	[01* phtừ & liên từ]\n- thế nào cũng được, cách nào cũng được\n[02= pay me anyhow, but do pay me] anh trả tôi thế nào cũng được nhưng phải trả tôi\n- dầu sao chăng nữa, dù thế nào đi nữa\n[02= anyhow I must be off tomorrow] dù sao chăng nữa mai tôi cũng phải đi\n- đại khái, qua loa, tuỳ tiện, được chăng hay chớ; cẩu thả, lộn xộn, lung tung\n[02= to do one's work anyhow] làm đại khái, làm qua loa\n[02= things are all anyhow] mọi việc đều lộn xộn\n[02= to feel anyhow] cảm thấy sức khoẻ sút đi, cảm thấy ốm
anymore [01/'enimɔ/]	- (Mỹ) nữa
anyone [01/'eniwʌn/]	[01* đại từ]\n- người nào, ai\n- bất cứ người nào, bất cứ ai
anyplace [01/'enipleis/]	[01* phtừ]\n- giống anywhere
