green cloth [01/'gri:nklɔθ/]	[01* dtừ]\n- thảm xanh
green corn [01/'gri:nkɔ:n/]	[01* dtừ]\n- bông lúa mì non nấu ăn ngọt
green cross code [01/gri:nkrɔs'koud/]	[01* dtừ]\n- luật Anh chỉ cách đi qua đường
green fingers [01/'gri:n'fiηgəz/]	[01* dtừ]\n- (tục) tài trồng vườn
green fodder [01/'gri:n'fɔdə/]	như [03green forage]
green food [01/'gri:nfu:d/]	[01* dtừ]\n- (như) [03green_fodder]\n- rau
green forage [01/'gri:n'fɔridʤ/]	[01* dtừ]\n- cỏ tươi (thức ăn cho vật nuôi)((cũng) [03green_food] ) 
green goods [01/'gri:ngudz/]	[01* dtừ s/n]\n- rau tươi\n- (Mỹ),(lóng) giấy bạc giả
green light [01/'gri:nlait/]	[01* dtừ]\n- đèn xanh (tín hiệu giao thông)\n- (tục) sự cho phép (đi qua; làm việc gì)\n[02= to give the green_light to] đồng ý cho làm, cho phép làm (việc gì) 
green linnet [01/'gri:n'linit/]	như [03greenlinnet]
green manure [01/'gri:nmə'njuə/]	[01* dtừ]\n- phân xanh
green meat [01/'gri:nmi:t/]	[01* dtừ]\n- rau cỏ
green paper [01/'gri:n'peipə/]	[01* dtừ]\n- một loạt đề nghị chính phủ đưa ra để nhần dần bàn trước khi chuyển thành pháp luật; sách xanh
green phosphor display	- (kỹ) màn hình lân tinh mầu lục
green pound [01/'gri:npaund/]	[01* dtừ]\n- giá trị của đồng pao trong việc trao đổi nông sản trong Cộng đồng châu Âu
green salad [01/'gri:n'sæləd/]	[01* dtừ]\n- món rau trộn
green stall [01/'gri:nstɔ:l/]	[01* dtừ]\n- quầy bán rau quả
green tea [01/'gri:nti:/]	[01* dtừ]\n- chè xanh
greenback [01/'gri:nbæk/]	như [03bank-bill]
green-blind [01/'gri:n'blaind/]	[01* ttừ]\n- (y) mắc chứng mù màu lục
green-blindness [01/'gri:n'blaindnis/]	[01* dtừ]\n- (y) chứng mù màu lục
green-book [01/'gri:nbuk/]	[01* dtừ]\n- (ngoại giao) sách xanh
greener [01/'gri:nə/]	[01* dtừ (lóng)]\n- người chưa có kinh nghiệm, người mới vào nghề, lính mới\n- người nước ngoài mới đến đang tìm việc làm
greenery [01/'gri:nəri/]	[01* dtừ]\n- cây cỏ\n- (hiếm) nhà kính trồng cây
green-eyed [01/'gri:n'aid/]	[01* ttừ]\n- ghen\n[04! green-eyed monster]\n- sự ghen, sự ghen tị, sự ghen tuông
greenfinch [01/'gri:nfint∫/]	như [03greenlinnet]
greenfly [01/'gri:nflai/]	[01* dtừ]\n- côn trùng phá hoại cây cối
greengage [01/'gri:ngeidʒ/]	[01* dtừ]\n- (thực vật) mận lục
greengrocer [01/'gri:ngrousə/]	[01* dtừ]\n- người bán rau quả
greengrocery [01/'gri:ngrousəri/]	[01* dtừ]\n- nghề buôn bán rau quả\n- rau quả
greenhorn [01/'gri:nhɔ:n/]	[01* dtừ]\n- người mới vào nghề, lính mới; người chưa có kinh nghiệm\n- người ngu ngốc, người khờ dại, người dễ bị bịp\n- (Mỹ),(tục) người mới nhập cư
