affectionally	- xem [03affection] 
affectionate [01/ə'fek∫nit/]	[01* ttừ]\n- thương yêu, yêu mến, âu yếm; trìu mến
affectionately [01/ə'fek∫ənitli/]	[01* phtừ]\n- âu yếm, trìu mến
affectionateness [01/ə'fek∫nitnis/]	[01* dtừ]\n- tính hay thương yêu, tính thương mến; tính trìu mến
affective [01/ə'fektiv/]	[01* ttừ]\n- xúc động, dễ xúc động
affectively	- xem [03affective] 
affectivity [01/,æfek'tiviti/]	[01* dtừ]\n- tính dễ xúc động
afferent [01/'æfərənt/]	[01* ttừ]\n- (sinh vật) hướng vào, dẫn vào, hướng tâm\n[02= afferent nerves] dây thần kinh hướng tâm
afferently	- xem [03afferent] 
affettuoso [01/ə,fetju'ouzou/]	[01* phtừ]\n- (âm nhạc) âu yếm
affiance [01/ə'faiəns/]	[01* dtừ]\n- (+ [04in, on]) sự tin, sự tín nhiệm\n- lễ ăn hỏi, lễ đính hôn\n[01* ngđtừ]\n- (thường) dạng bị động đính hôn, hứa hôn\n[02= to be affianced do someone] đã hứa hôn với ai
affidavit [01/,æfi'deivit/]	[01* dtừ]\n- (pháp lý) bản khai có tuyên thệ\n[02= to swear (make) an affidavit] làm một bản khai có tuyên thệ trước toà\n[02= to take an affidavit] nhận một bản khai có tuyên thệ (quan toà)\n- (tục) làm một bản khai có tuyên thệ
affiliate [01/ə'filjeit/]	như [03filiate]
affiliation [01/ə,fili'ei∫n/]	[01* dtừ]\n- sự nhập hội, sự nhập đoàn\n- sự sáp nhập, sự nhập vào, sự liên kết\n- (pháp lý) sự xác định tư cách làm bố (một đứa con hoang để có trách nhiệm nuôi)\n- sự xác định tư cách tác giả (của một tác phẩm)\n- sự tìm nguồn gốc (ngôn ngữ) 
affiliation order [01/ə,fili'ei∫n 'ɔ:də(r) /]	[01* dtừ]\n- phán quyết của toà buộc người cha phải cấp dưỡng con ngoài giá thú của mình
affinage [01/ə'finidʒ/]	[01* dtừ]\n- (kỹ) sự tinh luyện, sự tinh chế
affined [01/ə'faind/]	[01* ttừ]\n- có quan hệ họ hàng
affinity [01/ə'finiti/]	[01* dtừ]\n- mối quan hệ, sự giống nhau về cấu trúc (giữa các loài vật, cây cỏ, ngôn ngữ)\n- sự giống nhau về tính tình\n- quan hệ thân thuộc với họ nhà vợ, quan hệ thân thuộc với họ nhà chồng\n- sự thu hút, sự hấp dẫn, sự lôi cuốn; sự đồng cảm\n- sự ham thích\n[02= to have an affinity for something] ham thích ham thích cái gì\n- (hoá) ái lực\n[02= chemical affinity] ái lực hoá học
affinor	- afinơ, toán tử biến đối tuyến tính
affirm [01/ə'fə:m/]	[01* đtừ]\n- khẳng định, xác nhận; quả quyết\n- (pháp lý) xác nhân, phê chuẩn
affirmable	- xem [03affirm] 
affirmably	như [03affirmable]
affirmant	như [03affirmable]
affirmation [01/,æfə:'mei∫n/]	[01* dtừ]\n- sự khẳng định, sự xác nhận; sự quả quyết\n- lời khẳng định, lời xác nhận; lời quả quyết\n- (pháp lý) sự xác nhận; sự phê chuẩn
affirmative [01/ə'fə:mətiv/]	[01* ttừ]\n- khẳng định; quả quyết\n[02= an affirmative answer] câu trả lời khẳng định\n[01* dtừ]\n- lời khẳng định; lời nói "ừ", lời nói "được"\n[02= to answer in the affirmative] trả lời ừ, trả lời được
affirmative acknowledge	- xem [03affirmative response] 
affirmative response	- (kỹ) trả lời khẳng định
affirmatively [01/ə'fə:mətivli/]	[01* phtừ]\n- khẳng định, quả quyết
affirmer	như [03affirmable]
affix [01/'æfiks/]	[01* dtừ]\n- sự thêm vào; phần thêm vào\n- (ngôn) phụ tổ\n[01* ngđtừ]\n- affix to, on, upon) đóng chặt vào, gắn vào, đính vào\n- đóng (dấu) ; dán (tem) ; ký (tên...)\n[02= to affix a seal] đóng dấu\n[02= to affix stamp] dán tem\n[02= to affix one's signature to a documents] ký tên vào nhãn hiệu
affixable	như [03affixer]
affixer	- xem [03affix] 
affixture [01/ə'fikst∫ə/]	[01* dtừ]\n- sự đóng chặt vào, sự gắn vào, sự đính vào
afflatus [01/ə'fleitəs/]	[01* dtừ]\n- cảm hứng\n- linh cảm
afflict [01/ə'flikt/]	[01* ngđtừ]\n- làm đau đớn, làm đau buồn, làm ưu phiền, làm khổ sở\n[02= to be afflicted by...] đau buồn vì...
afflicter	như [03afflictively]
affliction [01/ə'flik∫n/]	[01* dtừ]\n- nỗi đau đớn, nỗi đau buồn, nỗi ưu phiền, nỗi khổ sở\n- tai ách, tai hoạ, hoạn nạn
afflictive [01/ə'fliktiv/]	[01* ttừ]\n- làm đau đớn, làm đau buồn, làm ưu phiền, làm khổ sở\n- mang tai hoạ, mang hoạn nạn
afflictively	- xem [03afflict] 
affluence [01/'æfluəns/]	[01* dtừ]\n- sự tụ họp đông (người)\n- sự giàu có, sự sung túc, sự phong phú, sự dồi dào\n[02= to live in affluence] sống phong lưu, giàu sang
affluent [01/'æfluənt/]	[01* ttừ]\n- nhiều, dồi dào, phong phú\n- giàu có\n[01* dtừ]\n- sông nhánh
affluently	- xem [03affluent] 
afflux [01/'æflʌks/]	[01* dtừ]\n- sự đổ dồn (về một nơi) ; sự chảy dồn, sự chảy tụ lại\n[02= afflux of blood] sự chảy dồn máu
afforce [01/ə'fɔ:s/]	[01* ngđtừ]\n- tăng thêm sức lực
afford [01/ə'fɔ:d/]	[01* ngđtừ]\n- có thể, có đủ sức, có đủ khả năng, có đủ điều kiện (để làm gì)\n[02= I can't afford to lose a minute] tôi không thể để mất một phút nào\n- cho, tạo cho, cấp cho, ban cho\n[02= reading affords us pleasure] đọc sách cho ta niềm vui thú\n[02= the fields afford enough fodder for the cattle] cánh đồng cung cấp đủ cỏ khô cho trâu bò
afforest [01/ə'fɔrist/]	[01* ngđtừ]\n- trồng cây gây rừng; biến thành rừng\n- (sử học) biến thành khu vực săn bắn
afforestation [01/ə,fɔris'tei∫n/]	[01* dtừ]\n- sự trồng cây gây rừng; sự biến thành rừng\n- (sử học) sự biến thành khu vực săn bắn
afforestment [01/ə'fɔristmənt/]	như [03afforestation]
affranchise [01/ə'frænt∫aiz/]	[01* ngđtừ]\n- giải phóng
affranchisement [01/ə'frænt∫aizmənt/]	[01* dtừ]\n- sự giải phóng
affray [01/ə'frei/]	[01* dtừ]\n- sự huyên náo; cuộc ẩu đả, cuộc cãi lộn (ở nơi công cộng) 
affreightment [01/ə'freitmənt/]	[01* dtừ]\n- (hàng hải) sự thuê tàu, chở hàng\n[02= contract of affreightment] giao kèo thuê tàu chở hàng
