thermo-battery [01/'θə:mə(u) 'bætəri/]	[01* dtừ]\n- (điện) pin nhiệt điện
thermochemical [01/,θə:mou'keimkl/]	[01* ttừ]\n- (thuộc) nhiệt hoá học
thermochemistry [01/,θə:mou'kemistri/]	[01* dtừ]\n- nhiệt hoá học
thermo-couple [01/'θə:moukʌpl/]	[01* dtừ]\n- (điện học) cặp nhiệt điện
thermodynamic [01/,θə:moudai'næmik/]	[01* ttừ]\n- nhiệt động (lực) 
thermodynamics [01/,θə:moudai'næmiks/]	[01* dtừ, s/n dùng như số ít]\n- nhiệt động lực học
thermoelectric [01/,θə:moui'lektrik/]	[01* ttừ]\n- (thuộc) nhiệt điện
thermoelectricity [01/'θə:mouilek'trisiti/]	[01* dtừ]\n- nhiệt điện
thermogene [01/'θə:moudʒi:n/]	như [03calorigenic]
thermogenesis [01/,θə:mou'dʒenisis/]	[01* dtừ]\n- sự sinh nhiệt
thermogenetic [01/'θə:moudʤi'netik/]	như [03calorigenic]
thermogenic [01/,θə:mə'dʒenik/]	- Cách viết khác : [03thermogenous]
thermogenous [01/'θə:mɔdʒənəs/]	- xem [03thermogenic] 
thermograph [01/'θə:məgrɑ:f/]	[01* dtừ]\n- máy ghi nhiệt
thermology [01/θə'mɔlədʒi/]	[01* dtừ]\n- nhiệt học
thermomagnetic [01/,θə:moudʒi'netik/]	[01* ttừ]\n- (lý) nhiệt từ
thermomagnetism [01/,θə:mou'mægnetizəm/]	[01* dtừ]\n- (lý) hiện tượng nhiệt từ
thermometer [01/θə'mɔmitə/]	[01* dtừ]\n- cái đo nhiệt, nhiệt biểu
thermometric [01/,θə:mə'metrik/]	như [03thermometrical]
thermometrical [01/,θə:mə'metrikl/]	[01* ttừ]\n- (thuộc) đo nhiệt
thermometry [01/θə'mɔmitri/]	[01* dtừ]\n- phép đo nhiệt
thermonuclear [01/,θə:mou'nju:kliə/]	[01* ttừ]\n- (thuộc) hạt nhân nóng
thermopile [01/'θə:moupail/]	[01* dtừ]\n- (lý) pin nhiệt điện
thermoplastic [01/,θə:mou'plæstik/]	[01* ttừ]\n- dẻo nóng (mềm, dễ uốn khi được nung nóng và cứng lại khi được làm lạnh)\n[01* dtừ]\n- nhựa dẻo nóng
thermoregulator [01/,θə:mou'regjuleitə/]	[01* dtừ]\n- (lý) máy điều chỉnh nhiệt
Thermos [01/'θə:mɔs/]	[01* dtừ]\n- cái phích, cái tecmôt ((thường) thermos bottle, thermos flask, thermos jug) 
Thermos bottle [01/'θə:mɔs'bɔtl/]	[01* dtừ]\n- cái phích, cái téc-mốt, bình thủy
Thermos flask [01/'θə:mɔs'flɑ:sk/]	- xem [03Thermos] 
thermos jugs	như [03Thermos bottle]
thermoscope [01/'θə:məskoup/]	[01* dtừ]\n- cái nghiệm nhiệt
thermosetting [01/,θə:mou'setiη/]	[01* ttừ]\n- phản ứng nóng, phản ứng nhiệt (trở nên thường xuyên cứng khi được nung nóng)\n[01* dtừ]\n- nhựa phản ứng nóng, nhựa phản ứng nhiệt
thermosphere [01/'θɜ:məsfiə(r) /]	[01* dtừ]\n- thượng tầng khí quyển
thermostable [01/,θə:mou'steibl/]	[01* ttừ]\n- chịu nóng, chịu nhiệt
thermostat [01/'θə:məstæt/]	[01* dtừ]\n- máy điều nhiệt
