reran [01/ri:'ræn/]	[01* đtừ]\n- quá khứ của rerun
reread [01/'ri:'ri:d/]	[01* ngđtừ]\n- đọc lại
re-read [01/'ri:'ri:d/]	[01* ngđtừ re-read]\n- đọc lại
rerecording [01/ri:ri'kɔ:diη/]	[01* dtừ]\n- sự ghi lại
reredos [01/'riədɔs/]	[01* dtừ]\n- màn bàn thờ (được phủ lên tường phía sau bàn thờ) 
reregistration [01/,ri:redʒis'trei∫n/]	[01* dtừ]\n- sự đăng ký lại
rerise [01/ri:'raiz/]	[01* nđtừ]\n- dậy lần nữa; đúng lên lần nữa
rerolling [01/ri:'rouliη/]	[01* dtừ]\n- sự cuộn lại
re-route [01/ri:'ru:t/]	[01* đtừ]\n- gởi đi, chở đi bằng đường khác
rerun [01/,ri:'rʌn/]	[01* ngđtừ] [02reran, rerun]\n-chiếu lại (phim), phát thanh lại (chương trình), mở lại (một cuộn băng)]\n- chạy đua lại (một cuộc đua)\n[01* dtừ]\n- phim được chiếu lại, chương trình được phát thanh lại, cuộn băng được mở lại; sự lặp lại
res [01/res/]	[01* dtừ] s/n\n- đồ vật\n[02= res immobilis] bất động sản\n[02= res mobilis] động sản
res gestae [01/,reiz'gestai/]	[01* dtừ s/n]\n- những sự kiện thích hợp có thể xem là bằng chứng; những việc đã làm
res publica [01/,reiz'publikə/]	[01* dtừ]\n- quốc gia; nền cộng hoà
resail [01/ri:'seil/]	[01* đtừ]\n- cho thuyền trở về; lại ra đi
resale [01/'ri:seil, ri:'seil/]	[01* dtừ]\n- sự bán lại
resale price maintenance [01/ri:'seil,prais 'meintinəns/]	[01* dtừ]\n- sự duy trì giá bán lại thấp nhất
resaw [01/ri:'sɔ:/]	[01* ngđtừ]\n- xẻ ván\n[01* dtừ]\n- cái cưa xẻ
rescale [01/ri:'skeil/]	[01* ngđtừ]\n- thay đổi tỷ lệ
rescaling [01/ri:'skeiliη/]	[01* dtừ]\n- sự thay đổi tỷ lệ
rescind [01/ri'sind/]	[01* ngđtừ]\n- huỷ bỏ, thủ tiêu (luật hợp đồng...) 
rescission [01/ri'siʒn/]	[01* dtừ]\n- sự huỷ bỏ, sự thủ tiêu
rescissory [01/ri'sisəri/]	[01* ttừ]\n- hủy bỏ; thủ tiêu (có tác dụng) 
rescrape [01/ri:'skreip/]	[01* ngđtừ]\n- (kỹ) cạo rà lại; nạo lại
rescreening [01/ri:'skri:niη/]	[01* dtừ]\n- sự sàng lại
rescribe [01/ri'skraib/]	[01* ngđtừ]\n- (từ hiếm) viết lại\n- phúc đáp
rescript [01/'ri:skript/]	[01* dtừ]\n- sự viết lại, bản viết lại\n- huấn lệnh; lời công bố (của nhà cầm quyền, của chính phù)\n- thư trả lời của giáo hoàng (về vấn đề luật giáo hội...) 
rescue [01/'reskju:/]	[01* dtừ]\n- sự giải thoát, sự cứu, sự cứu nguy\n[02= to go to someone's rescue] đến cứu ai\n- (pháp lý) sự phong thích không hợp pháp tù nhân\n- (pháp lý) sự cưỡng đoạt lại (tài sản)\n[01* ngđtừ]\n- cứu, cứu thoát, cứu nguy\n[02= to rescue someone from death] cứu người nào khỏi chết\n- (pháp lý) phóng thích không hợp pháp (tù nhân)\n- (pháp lý) cưỡng đoạt lại (tài sản) 
rescuer [01/'reskjuə/]	[01* dtừ]\n- người cứu, người cứu thoát, người cứu nguy
research [01/ri'sə:t∫, 'ri:sə:t∫/]	[01* dtừ]\n- sự nghiên cứu\n[02= to be engaged in research work] đi vào công tác nghiên cứu\n[02= to cary out a research into something] tiến hành nghiên cứu vấn đề gì\n[01* nđtừ]\n- nghiên cứu\n[02= to research into the causes of cancer] người nghiên cứu nguyên nhân của bệnh ung thư
research laboratory [01/ri:'sə:t∫ læbə'rætəri/]	[01* dtừ]\n- phòng nghiên cứu
researcher [01/ri'sə:t∫ə/]	[01* dtừ]\n- nhà nghiên cứu
researrch	- sự nghiên cứu\n- operation r. vận trù học
reseat [01/,ri:'si:t/]	[01* ngđtừ]\n- trang bị ghế mới (cho nhà hát...) 
reseau [01/'rezou/]	[01* dtừ]\n- mạng lưới đặt lên ảnh tinh tú để đo
resect [01/ri:'sekt/]	[01* ngđtừ]\n- (y) cắt b
resection [01/ri:'sek∫n/]	[01* dtừ]\n- (y) sự cắt b
reseda [01/'residə/]	[01* dtừ]\n- (thực vật) cỏ mộc tê
resedit	- Một trình tiện ích của Macintosh, được các đại lý của Apple Computer cung cấp miễn phí, cho phép bạn có thể biên tập (và sao chép vào các chương trình khác) nhiều tính năng chương trình, như văn bản lệnh đơn, các biểu tượng, các dạng con chạy, các hộp hội thoại
resell [01/,ri:'sel/]	như [03resold]
resemblance [01/ri'zembləns/]	[01* dtừ]\n- sự giống nhau\n[02= to bear a resemblance to] giống với
resemble [01/ri'zembl/]	[01* ngđtừ]\n- giống với (người nào, vật gì)\n[02= to resemble one another] giống nhau
resent [01/ri'zent/]	[01* ngđtừ]\n- phẫn uất, oán giận\n- phật ý, không bằng lòng, bực bội\n[02= to resent criticism] không bằng lòng phê bình\n[02= to resent a bit of fun] phật ý vì một câu nói đùa
resentful [01/ri'zentfl/]	[01* ttừ]\n- phẫn uất, oán giận\n- phật ý, bực bội
resentfully [01/ri'zentfəli/]	[01* phtừ]\n- cảm thấy phẫn uất bực bội, cảm thấy không bằng lòng; thể hiện sự phẫn uất bực bội, thể hiện sự không bằng lòng
resentfulness [01/ri'zentfənis/]	[01* dtừ]\n- sự phẫn uất bực bội, sự không bằng lòng, sự phật ý
resentment [01/ri'zentmənt/]	[01* dtừ]\n- sự phẫn uất, sự oán giận\n[02= to bear (habour) resentment agaisnt someone for having done something] oán giận người nào vì đã làm việc gì\n- sự phật ý, sự bực bội
reserpine [01/ri'sə:pi:n/]	[01* dtừ]\n- (dược học) Rêzecpin
reservation [01/,rezə'vei∫n/]	[01* dtừ]\n- sự hạn chế; điều kiện hạn chế\n[02= mental reservation] thái độ ngầm biểu lộ sự hạn chế tán thành (cái gì)\n- (Mỹ) vùng đất dành riêng\n[02= Indian reservation] vùng dành riêng cho người da đỏ\n- (Mỹ) sự dành trước, sự giữ trước (vé tàu, buồng ở, chỗ ngồi ở rạp hát)\n- (pháp lý) sự bảo lưu
reservative [01/ri'zə:vətiv/]	[01* ttừ]\n- để bảo tồn/ giấu diếm/ bảo lưu
reservatory [01/ri'zə:vətəri/]	[01* dtừ]\n- nơi bảo tồn, nơi gìn giữ
reserve [01/ri'zə:v/]	[01* dtừ]\n- sự dự trữ; vật dự trữ\n[02= the gold reserve] số vàng dự trữ\n[02= in reserve] để dự trữ\n[02= to keep in reserve] dự trữ\n- (qsự)((thường) số nhiều) quân dự bị, lực lượng dự trữ\n- (thể thao) đấu thủ dự bị\n- sự hạn chế; giới hạn; sự dè dặt\n[02= with all reserve; with all proper reserves] với tất cả những sự dè dặt\n[02= to accept without reserve] thừa nhận hoàn toàn\n- tính dè dặt; sự kín đáo; sự giữ gìn\n- thái độ lạnh nhạt, sự lânh đạm\n- (Mỹ) khu đất dành riêng (để làm việc gì)\n[01* ngđtừ]\n- để dành, dự trữ\n[02= to reserve some money for later use] dự trữ một ít tiền để dùng sau này\n- dành trước, giữ trước\n[02= to reserve a seat at the theatre] dành trước một ghế ở rạp hát\n- dành riêng\n- (pháp lý) bảo lưu
reserve bank	[01* dtừ]\n- ngần hàng chính (giữ số tiền dự trữ của các ngần hàng khác) 
reserved [01/ri'zə:vd/]	[01* ttừ]\n- dành, dành riêng, dành trước\n[02= reserved seat] ghế dành riêng\n- kín đáo; dè dặt, giữ gìn\n- dự bị, dự trữ\n[02= reserved list] (hàng hải) danh sách sĩ quan dự bị
reservedly [01/ri'zə:vdli/]	[01* phtừ]\n- kín đáo; dè dặt, giữ gìn
reservedness [01/ri'zə:vdnis/]	[01* dtừ]\n- sự dành, sự dành riêng, sự dành trước\n- sự dè dặt, sự giữ gìn, sự kín đáo
reserver [01/ri:'zə:və/]	[01* dtừ]\n- người tàng trữ, người bảo tồn, người bảo lưu\n- người ít nói; người cẩn thận; người kín đáo
reservist [01/ri'zə:vist/]	[01* dtừ]\n- lính dự bị\n- (thể thao) đấu thủ dự bị
reservoir [01/'rezəvwɑ:/]	[01* dtừ]\n- bể chứa nước; đồ chưa (chất lỏng)\n- kho, kho dự trữ, nguồn\n[02= a reservoir of knowledge] kho kiến thức\n[02= a reservoir of strength] nguồn sức mạnh\n[01* ngđtừ]\n- chứa vào bể chứa nước
reset [01/,ri:'set/]	[01* ngđtừ]\n- đặt lại, lắp lại (một bộ phận của máy...)\n- bó lại (xương gãy)\n[02= to reset a broken] bó lại cái xương gãy\n- mài lại (một dụng cụ) ; căng lại (lò xo...)\n[01* đtừ]\n- oa trữ (đồ ăn trộm...) 
resetter [01/ri'setə/]	[01* dtừ]\n- kẻ oa trữ đồ ăn trộm
resettle [01/,ri:'setl/]	[01* nđtừ]\n- tái định cư (nhất là người tị nạn)\n- làm cho (một vùng, một nước) lại có người đến sống
resettlement [01/,ri:'setlmənt/]	[01* dtừ]\n- sự tái định cư (nhất là người tị nạn)\n- sự làm cho (một nước) lại có người đến sống
resh [01/rei∫/]	[01* dtừ]\n- chữ cái thứ 20 của bảng chữ cái Do thái
reshape [01/ri:'∫eip/]	[01* ngđtừ]\n- tạo lại hình dáng, làm lại hình dáng; phục hồi hình dạng
reship [01/,ri:'∫ip/]	[01* đtừ]\n- lại cho xuống tàu; lại chuyên chở bằng tàu; lại đi tàu\n- chuyển sang tàu khác
reshuffle [01/,ri:'∫ʌfl/]	[01* dtừ]\n- (đánh bài) sự trang lại bài\n- sự cải tổ chính phủ\n[01* ngđtừ]\n- (đánh bài) trang lại (bài)\n- cải tổ (chính phủ) 
reside [01/ri'zaid/]	[01* nđtừ]\n- ở tại, trú ngụ, cư trú\n[02= to reside in HangBong street] ở tại phố Hàng Bông\n[02= to reside abroad] trú ngụ tại nước ngoài\n[02= the difficulty resides in this...] (bóng) khó khăn là ở chỗ...\n- (+[04 in]) thuộc về (thẩm quyền, quyền hạn...)\n[02= the right to decide the matter resides in the Supreme Court] quyền quyết định vấn đề thuộc về toà án tối cao
residence [01/'rezidəns/]	[01* dtừ]\n- sự ở, sự cư trú, sự trú ngụ\n[02= to take up one's residence in the country] về ở nông thôn\n[02= during my residence abroad] trong khi tôi ở nước ngoài\n- chỗ ở, nơi cư trú, nhà ở\n[02= a desirable residence for sale] một căn nhà đẹp để bán\n- dinh thự
residency [01/'reizidənsi/]	[01* dtừ]\n- phủ thống sứ; toà công sứ (ở các nước thuộc địa hoặc nửa thuộc địa) 
resident [01/'rezidənt/]	[01* ttừ]\n- cư trú, ở chính thức (một nơi nào) ; thường trú\n[02= the resident population] cư dân (không phải khách vâng lai) ; số dân chính thức (ở một nơi nào, không kể những người tạm trú)\n- (động vật) không di trú (chim)\n- ở ngay tại chỗ, nội trú (bệnh viện, trường học...)\n[02= resident physician] bác sĩ nội trú\n- (+[04 in]) thuộc về, ở vào\n[02= rights resident in the nation] quyền lợi thuộc về một nước\n[01* dtừ]\n- người trú ngụ (ở một nơi nào) ; cư dân\n- thống sứ; công sứ (ở các nước thuộc địa hoặc nửa thuộc địa)\n- (động vật) chim không di trú
resident physician [01/'rezidənt,fi'zi∫n/]	[01* dtừ]\n- <y> bác sự nội trú
residential [01/,rezi'den∫l/]	[01* ttừ]\n- (thuộc) nhà ở, (thuộc) nhà riêng\n[02= residential address] địa chỉ nhà ở\n[02= residential district] khu vực nhà ở (không phải khu cơ quan hay khu buôn bán)\n[02= residential rental] (Mỹ) tiền thuê nhà\n- có liên quan tới nơi cư trú\n[02= the residential qualification for voters] tư cách cư trú đối với cử tri
residentiary [01/,rezi'den∫əri/]	[01* ttừ]\n- (thuộc) nơi ở chính thức
resider [01/ri'zaidə/]	[01* dtừ]\n- người cư trú; người ở
residua [01/ri'zidjuə/]	[01* dtừ, s/n]\n- phần còn lại\n- (hoá) bã\n- (toán) số dư\n- số chưa tính; số tính nhầm vào (khi tính nhầm)\n- (cổ) cặn bã của xã hội
residual [01/ri'zidjuəl/]	[01* ttừ]\n- còn dư, còn lại\n- (toán) ; (lý) thặng dư, (còn) dư\n[02= residual oscillation] dao động dư\n[01* dtừ]\n- phần còn lại, phần còn dư\n- (toán) số dư\n- số chưa tính; số tính nhầm vào (khi tính nhầm) 
residual air [01/ri'zidjuəl 'eə/]	[01* dtừ]\n- không khí còn dư trong phổi sau khi cố gắng thở ra kỳ hết
residual power [01/ri'zidjuəl 'pauə/]	[01* dtừ]\n- quyền lực còn lại của chính phủ (sau khi đã ủy nhiệm cho các đượng cục chuyên trách) 
residual volume [01/ri'zidjuəl 'vɔljum/]	[01* dtừ]\n- xem [03residual air] 
residuary [01/ri'zidjuəri/]	[01* ttừ]\n- dư, còn lại
residuary bequest [01/ri'zidjuəri bi'kwest/]	[01* dtừ]\n- sự nhường lại gia sản
residuary clause [01/ri'zidjuəri 'klɔ:z/]	[01* dtừ]\n-(Pháp) điều khoản về sử dụng tài sản còn dư
residuary legatee [01/ri'zidjuəri,legə'ti:/]	[01* dtừ]\n- người thừa kế tài sản còn dư
residuate	- định phần dư, thặng dư
residuation	- sự xác định phần dư, thặng dư
residue [01/'rezidju:/]	[01* dtừ]\n- phần còn lại\n- phần tài sản còn lại sau khi đã thanh toán xong mọi khoản (chia gia tài, nợ nần...)\n- (toán) thặng dư\n[02= residue of a function at a pole] thặng dư của một hàm tại một cực\n- (hoá) bã
residuum [01/ri'zidjuəm/]	như [03residua]
resign [01/,ri:'zain/]	[01* đtừ]\n- ký tên lại(ri'zain)\n[01* đtừ]\n- từ chức, xin thôi\n- trao, nhường\n[02= to resign the property to the right claimant] trao lại tài sản cho người được hưởng chính đáng\n- bỏ, từ bỏ\n[02= to resign all hope] từ bỏ mọi hy vọng\n[04! to resign oneself to]\n- cam chịu, đành phận, phó mặc\n[02= to resign oneself to one's fate] cam chịu số phận\n[02= to resign oneself someone's guidance] tự để cho ai dìu dắt mình\n[02= to resign oneself to meditation] trầm tư mặc tưởng
resignation [01/,rezig'nei∫n/]	[01* dtừ]\n- sự từ chức; đơn xin từ chức\n[02= to send in (tender, give) one's resignation] đưa đơn xin từ chức\n- sự từ bỏ, sự trao, sự nhường (quyền lợi, hy vọng...)\n- sự cam chịu; sự nhẫn nhục\n[02= to accept one's fate with resignation] cam chịu số phận
resigned [01/ri'zaind/]	[01* ttừ]\n- cam chịu, nhẫn nhục
resignedly [01/ri'zainidli/]	[01* phtừ]\n- một cách nhẫn nhục, một cách cam chịu
resignee [01/rizai'ni:/]	[01* dtừ]\n- người được hưởng
resile [01/ri'zail/]	[01* nđtừ]\n- bật nảy; co giân, có tính đàn hồi
resilience [01/ri'ziliəns/]	như [03resiliency]
resilience(cy)	- (vật lí) năng lượng đàn hồi tích tụ tối đa trong một đơn vị
resiliency [01/ri'ziliənsi/]	[01* dtừ]\n- tính bật nảy; tính co giân, tính tính đàn hồi\n- khả năng phục hồi nhanh sức mạnh (thể chất hoặc tinh thần) ; sức bật\n- (kỹ) biến dạng đàn hồi; độ dai va đập
resilient [01/ri'ziliənt/]	[01* ttừ]\n- bật nảy; co giân, đàn hồi\n- sôi nổi; không hay chán nản, không hay nản lòng\n- có khả năng phục hồi nhanh sức mạnh (thể chất hoặc tinh thần) ; có sức bật
resilifer [01/ri'zilifə/]	[01* dtừ]\n- (sinh vật) mấu bản lề sừng
resilium [01/ri'ziliəm/]	[01* dtừ]\n- bản lề sừng
resilver [01/ri:'silvə/]	[01* ngđtừ]\n- tráng bạc (gương) 
resin [01/'rezin/]	[01* dtừ]\n- nhựa (cây) 
resin canal	[01* dtừ]\n- mạch nhựa trong vỏ cầy
resin duck [01/'rezin dʌkt/]	[01* dtừ]\n- xem [03resin canal] 
resinaceous [01/,rezi'nei∫əs/]	[01* ttừ]\n- (thuộc) nhựa; giống nhựa
resinate [01/'rezineit/]	[01* ngđtừ]\n- thấm nhựa vào
resinated [01/'rezineitid/]	[01* ttừ]\n- thấm nhựa
resiniferous [01/,rezi'nifərəs/]	[01* ttừ]\n- tạo nên nhựa, tiết ra nhựa
resinification [01/rezinifi'kei∫n/]	[01* dtừ]\n- xem [03resinify] 
resinify [01/'rezinifai/]	[01* ngđtừ]\n- làm thành nhựa
resinoid [01/'rezinɔid/]	[01* ttừ]\n- giống nhựa\n[01* dtừ]\n- chất giống nhựa
resinous [01/'rezinəs/]	như [03resinaceous]
resin-passage [01/'rezin,pæsidʒ/]	[01* dtừ]\n- đường mạch nhựa
resiny [01/'rezini/]	[01* ttừ]\n- có nhựa; nhiều nhựa
resipiscence [01/,resi'pisəns/]	[01* dtừ]\n- sự thừa nhận sai lầm, sự lại nhận thấy lẽ phải
resist [01/ri'zist/]	[01* dtừ]\n- chất cản màu (phết vào vải để cho thuốc nhuộm không ăn ở những chỗ không cần nhuộm màu)\n[01* đtừ]\n- kháng cự, chống lại\n[02= to resist an attack] chống lại một cuộc tấn công\n[02= to resist a disease] chống lại bệnh tật\n- chịu đựng được, chịu được\n[02= to resist heat] chịu được nóng\n- cưỡng lại, không mắc phải\n[02= to resist a bad habit] cưỡng lại một thói quen xấu\n- ((thường) phủ định) nhịn được\n[02= I can't resist good coffee] cà phê ngon thì tôi không nhịn được\n[02= he can never resist a joke] nó không thể nào nhịn được đùa; nó không thể nào nhịn cười được khi nghe một câu chuyện đùa
resistance [01/ri'zistəns/]	[01* dtừ]\n- sự chống cự, sự kháng cự, sự đề kháng\n[02= a war of resistance] cuộc kháng chiến\n- (lý) điện trở\n[02= resistance box] hộp điện trở\n- tính chống, sức bền, độ chịu\n[02= frictional resistance] độ chịu ma sát\n[02= resistance to corrosion] tính chống gặm mòn\n[04! to take the line of least resistance]\n- chọn con đường dễ nhất, chọn phương pháp dễ nhất
resistance-box [01/ri'zistəns,bɔks/]	[01* dtừ]\n- hộp điện trở
resistance-stable [01/ri'zistəns 'steibl/]	[01* ttừ]\n- có trở kháng ổn định
resistant [01/ri'zistənt/]	[01* ttừ]\n- chống cự, kháng cự, đề kháng\n- có sức chịu đựng, có sức bền, bền
resister [01/ri'zistə/]	[01* dtừ]\n- người chống lại
resistibility [01/ri,zistə'biləti/]	[01* dtừ]\n- tính có thể chống lại, tính có thể cưỡng lại\n- khả năng chống lại
resistible [01/ri'zistəbl/]	[01* ttừ]\n- có thể chống lại, có thể cưỡng lại
resistive [01/ri'vistiv/]	[01* ttừ]\n- chống lại, cưỡng lại\n- (lý) có điện trở
resistivity [01/,rizis'tiviti/]	[01* dtừ]\n- (lý) suất điện trở
resistless [01/ri'zistlis/]	[01* ttừ]\n- không chống lại được; không cưỡng lại được
resistor [01/ri'zistə/]	[01* dtừ]\n- (lý) cái điện trở
resit [01/,ri:'sit/]	[01* nđtừ] [03resat]\n-thi lại, kiểm tra lại (sau khi thi trượt)]\n[01* dtừ]\n- lần thi thứ hai, lần kiểm tra thứ hai
resize [01/ri:'saiz/]	[01* ngđtừ]\n- đưa trở lại kích thước yêu cầu
resold [01/'ri:'sould/]	[01* ngđtừ]\n- bán lại
resole [01/,ri:'soul/]	[01* ngđtừ]\n- thay đế mới (giày) 
resolidification [01/risɔ:lidifi'kei∫n/]	[01* dtừ]\n- sự làm rắn trở lại
resolubility	- tính giải được
resoluble [01/ri'zɔljubl/]	[01* ttừ]\n- có thể phân giải\n- có thể giải quyết (vấn đề) 
resolute [01/'rezəlu:t/]	[01* ttừ]\n- quyết, cương quyết, kiên quyết
resolutely [01/'rezəlu:tli/]	[01* phtừ]\n- kiên quyết, cương quyết
resoluteness [01/'rezəlu:tnis/]	[01* dtừ]\n- sự kiên quyết, sự cương quyết
