rayonnant [01/'reijənənt/]	[01* ttừ]\n- toả tia (trang trí) 
ray-proof [01/'rei,pru:f/]	[01* ttừ]\n- chịu phóng xạ
raze [01/reiz/]	[01* ngđtừ]\n- phá bằng, san bằng, phá trụi\n[02= to raze a town to the ground] san bằng một thành phố\n- (+[04 raze out])(hiếm) xoá bỏ, gạch đi ((thường),(bóng))\n[02= to raze someone's name from remembrance] xoá nhoà tên tuổi ai trong trí nhớ\n- (hiếm) làm xước da
razoo [01/rə'zu:/]	[01* dtừ]\n- (NZ, Australia) số tiền nhỏ
razor [01/'reizə/]	[01* dtừ]\n- dao cạo
razor-back [01/'reizəbæk/]	[01* dtừ]\n- lưng nhọn\n- cá voi lưng xám ((cũng) [03razor-back whale] ) 
razor-backed [01/'reizəbækd/]	[01* ttừ]\n- có lưng nhọn và hẹp\n[02= a razor-backed horse] con ngựa lưng nhọn và hẹp
razor-bill [01/'reizəbil/]	[01* dtừ]\n- (động vật) chim cụt
razor-blade [01/'reizəbleid/]	[01* dtừ]\n- lưỡi dao bào, lưỡi dao cạo
razor-clam [01/'reiʒəklæm/]	[01* dtừ]\n- (động vật) trai móng tay
razor-edge [01/'reizər'edʒ/]	[01* dtừ]\n- cạnh sắc của dao cạo\n- dây núi sắc cạnh\n- đường phân chia rõ rệt, giới hạn rõ rệt\n[02= to keep on the razor-edge of something] không vượt quá giới hạn của cái gì\n- hoàn cảnh gay go, tình thế nguy ngập\n[02= to be on a razor-edge] lâm vào hoàn cảnh gay go, ở vào tình thế nguy ngập
razor-shell [01/'reiʒə∫el/]	[01* dtừ]\n- xem [03razor-clam] 
razor-strop [01/'reizəstrɔp/]	[01* dtừ]\n- da liếc dao cạo
razz [01/ræz/]	[01* ngđtừ]\n- (Mỹ),(lóng) trêu chòng, chọc ghẹo; chế giễu
razzia [01/'ræziə/]	[01* dtừ]\n- sự cướp bóc\n- cuộc đi cướp người làm nô lệ (của những người Hồi giáo ở Châu phi)\n- cuộc vây bắt, cuộc bố ráp (của công an) 
