kaliphate [01/'keilifeit/]	[01* dtừ]\n- xem [03caliphate] 
kalium [01/'keiliəm/]	[01* dtừ]\n- (hoá) Kali
kalmuck [01/'kælmukl/]	[01* dtừ]\n- cũng [03kalmuk]\n- ngôn ngữ Mông Cổ của người Can mức\n- người Can mức, nhóm người Mông cổ cư ngụ từ miền tây Trung Quốc đến biển Caxpiên
kalmyk [01/'kælmik/]	[01* dtừ]\n- xem [03kalmuck] 
kalong [01/'kɑ:lɔη/]	[01* dtừ]\n- (động vật) dơi quạ (Mã-lai) 
kalpa [01/'ka:lpə ; 'kælpə/]	[01* dtừ]\n- kiếp (theo tín ngưỡng ấn Độ thế giới trải qua cứ vạn năm bị hủy diệt một lần rồi lại tái sinh là một kiếp) 
kamikaze [01/,kæmi'ka:zi/]	[01* dtừ]\n- phi đội Thần phong của Nhật Bản thời Đệ nhị thế chiến
kampometer [01/kæm'pɔmitə/]	[01* dtừ]\n- (lý) cái đo nhiệt xạ
kampong [01/'kɑmpɔη/]	[01* dtừ (Mâ-lai)]\n- khu vực có hàng rào bao quanh\n- làng
kampuchean [01/,kæmpu'∫i:ən/]	[01* dtừ]\n- người Cămpuchia\n- tiếng Cămpuchia\n[01* ttừ]\n- xem trên chỉ thuộc về
kana [01/'ka:nə/]	[01* dtừ]\n- chữ Kana (Nhật) 
kanaka [01/'kænəkə/]	[01* dtừ]\n- thổ dân Ca-nác (ở các đảo nam Thái bình dương)\n- công nhân đồn điền mía (ở Uc) 
kanarese [01/,kænə'ri:z/]	[01* dtừ] s/n [03kanarese]\n- người dân nói tiếng kanarese ở Myrose, Nam ấn Độ
kangaroo [01/,kæηgə'ru:/]	[01* dtừ]\n- (động vật) con canguru\n- (số nhiều)(lóng) cổ phần mỏ (ở Tây-Uc) ; những người buôn cổ phần mỏ (ở Tây-Uc)\n- (Kangaroo)(qsự) xe bọc sắt\n[04! kangaroo closure]\n- buổi họp tiểu ban (ở quốc hội) để thảo luận số điểm bổ khuyết đã được chủ tịch chọn lựa\n[04! kangaroo court]\n- (Mỹ),(lóng) phiên toà chiếu lệ; toà án trò hề (bất chấp cả công lý, luật pháp)\n[01* nđtừ]\n- đi săn canguru\n- nhảy những bước dài
kangaroo rat [01/,kæηgə'ru,ræt/]	[01* dtừ]\n- chuột túi
kanji [01/'kændʒi/]	[01* dtừ]\n- chữ Kanji (chữ Nhật, viết với gốc từ Hán) 
kannada [01/'kænədə/]	[01* dtừ]\n- tiếng Kannađa (ngôn ngữ chính của Mysore ở miền Nam ấn Độ) 
kantian [01/'kæntiən/]	[01* ttừ]\n- (triết học)(thuộc) triết học Căng\n[01* dtừ]\n- (triết học) môn đệ của Căng; người theo triết học Căng
kantianism [01/'kæntiənizm/]	[01* dtừ]\n- (triết học) triết học Căng, chủ nghĩa Căng
kaoliang [01/,kɑ:ɔli'æη/]	[01* dtừ]\n- (thực vật) cao lương
kaolin [01/'keiəlin/]	[01* dtừ]\n- caolin
kaolinisation [01/,keiəlinai'zeiʃn/]	[01* dtừ]\n- như [03kaolinization] 
kaolinise [01/'keiəlinaiz/]	[01* ngđtừ]\n- caolin hoá
kaolinite [01/'keiəlinait/]	[01* dtừ]\n- caolinit
kaolinization [01/,keiəlinai'zei∫n/]	[01* dtừ]\n- sự caolin hoá
kaolinize [01/'keiəlinaiz/]	như [03kaolinise]
kapellmeister [01/kɑ:'pelmaistə/]	như [03bandmaster]
kaph [01/ka:f/]	[01* dtừ]\n- chữ thứ 11 trong bảng chữ cái Hêbrơ
kapok [01/'keipɔk/]	[01* dtừ]\n- bông gạo
kappa [01/'kæpə/]	[01* dtừ]\n- chữ thứ 10 trong bảng chữ cái Hy Lạp
kaptan [01/'kæftæn/]	[01* dtừ]\n- như [03caftan] 
kaput [01/kə'put/]	[01* ttừ]\n- (lóng) bị tiêu rồi, bị khử rồi, bị phăng teo rồi; bị phá sạch rồi
karabiner [01/,kærə'bi:nə/]	[01* dtừ]\n- cũng [03carabiner]\n- người đeo súng các bin, nhất là trước đây
karakul [01/'kærəku:l/]	[01* dtừ]\n- (động vật) cừu caracun
karaoke [01/,kærə'oukei/]	[01* dtừ]\n- hệ thống thính thị đệm nhạc cho một bài hát bằng cách đệm nhạc theo lời bài hát hiện trên một màn hình viđêô; caraôkê
karat [01/'kærət/]	[01* dtừ]\n- (Mỹ) carat đơn vị tính tuổi vàng
karate [01/kə'rɑ:ti/]	[01* dtừ]\n- môn võ caratê
karateist	- xem [03karate] 
karelian [01/kə'riljən/]	[01* dtừ]\n- cư dân ở Carêli, Đông bắc châu Âu\n- ngôn ngữ của người Carêli
karen [01/kə'ren/]	[01* dtừ] s/n [02karen, karens]\n- tộc Caren (người ở Đông và Nam Miến điện)\n- người thuộc tộc người này\n- nhóm ngôn ngữ dân tộc caren
karma [01/'kɑ:mə/]	[01* dtừ]\n- nghiệp (đạo Phật) 
karmic	- xem [03karma] 
karoo [01/kə'ru:/]	[01* dtừ]\n- vùng cao nguyên đất sét (Nam phi) 
kaross [01/kə'rɔs/]	[01* dtừ]\n- áo choàng da lông (của thổ dân Nam phi) 
karri [01/'ka:ri/]	[01* dtừ]\n- cây bạch đàn úc
karst [01/ka:st/]	[01* dtừ]\n- vùng đá vôi
karstic [01/'ka:stik/]	[01* ttừ]\n- thuộc vùng đá vôi
kart [01/ka:t/]	[01* dtừ]\n- ô tô đua rất nhỏ
kartel [01/'kɑ:təl/]	[01* dtừ]\n- giường gỗ (trên toa xe chở bò ở Nam phi) 
kartell [01/kɑ:'tel/]	[01* dtừ]\n- (kinh tế) cacten ((cũng) [03kartell] )\n- sự phối hợp hành động chung (giữa các nhóm chính trị)\n- sự thoả thuận giữa hai nước đang đánh nhau (về việc trao đổi tù binh...)\n- việc trao đổi tù binh\n- thử thách đấu gươm
karting [01/ka:tiη/]	[01* dtừ]\n- môn đua ô tô rất nhỏ
karyokinesis [01/,kæriouki'ni:sis/]	[01* dtừ]\n- (sinh vật) sự phân bào có tơ
karyokinetic [01/,kæriəuki'netik/]	[01* ttừ]\n- thuộc sự phân bào có tơ
karyologic(al) [01/kæriə'lɔdʒik(əl) /]	[01* ttừ]\n- thuộc ngành tế bào học
karyology [01/,kæri'ɔlədʒi/]	[01* dtừ]\n- ngành tế bào học
karyolymph [01/'kæriə,limf/]	[01* dtừ]\n- nhựa nhân (chất lỏng sáng trong nhân tế bào) 
karyoplasm [01/'kæriouplæzm/]	[01* dtừ]\n- (sinh vật) chất nhân
karzy [01/'ka:zi/]	[01* dtừ]\n- cũng [02kazi, carsey]\n- (tục) nhà vệ sinh
kasbah [01/'kæzba:/]	[01* dtừ]\n- xem [03casbah] 
kashmir goat [01/'kæ∫miə gout/]	[01* dtừ]\n- dê ấn Độ (nuôi chủ yếu để lấy len, gọi là len casơmia) 
kashmiri [01/ke∫'miəri/]	[01* dtừ] s/n [02kashmiris, kashmiri]\n- người dân Casơmia\n- ngôn ngữ ấn của Casơmia
kashruth [01/'kæ∫,rut/]	[01* dtừ]\n- cũng [03kashrut]\n- tình trạng theo chế độ ăn uống nghiêm ngặt của người Do Thái\n- luật ăn uống của người Do Thái (cách giết những con vật để ăn) 
kat [01/ka:t ; kæt/]	[01* dtừ]\n- cũng [03khat]\n- cây catha (ở ả Rập trồng để lấy lá và nụ của nó nhai (như) một chất ma túy) 
kata [01/'ka:ta/]	[01* dtừ]\n- võ phương đông (kacate Nhật bản) 
katabatic [01/,kætə'bætik/]	[01* ttừ]\n- (khí tượng) thổi xuống (gió) 
katabolism [01/kə'tæbəlizm/]	như [03catabolism]
katamorphic [01/,kætə'mɔ:fik/]	[01* ttừ]\n-(đùa) biến chất ở sâu
