unlikeness [01/ʌn'laiknis/]	[01* dtừ]\n- xem [03unlike] 
unlimber [01/(') ʌn'limbə/]	[01* ngđtừ]\n- tháo đầu xe (xe kéo pháo) 
unlimed [01/'ʌn'laimb/]	[01* ttừ]\n- không rắc vôi, không bón vôi
unlimited [01/ʌn'limitid/]	[01* ttừ]\n- không giới hạn, vô vùng, vô tận, vô kể
unlimitedly [01/ʌn'limitidli/]	[01* trạng từ]\n- xem [03unlimited] 
unlimitedness [01/ʌn'limitidnis/]	[01* dtừ]\n- tính không giới hạn, tính vô hạn
unline [01/ʌn'lain/]	[01* ngđtừ]\n- tháo lót (áo...) 
unlined [01/ʌn'laind/]	[01* ttừ]\n- không có lót (áo)\n- không nhăn (mặt) 
unlink [01/ʌn'liηk/]	[01* ngđtừ]\n- tháo móc nối; tháo mắt xích
unlinked [01/ʌn'liηkt/]	[01* ttừ]\n- không bị kết hợp, không bị ràng buộc
unliquid [01/ʌn'likwid/]	[01* ttừ]\n- không dễ thực hiện, chưa thanh toán\n- không lỏng, đặc
unliquidated [01/ʌn'likwideitid/]	[01* ttừ]\n- chưa trả hết, chưa thanh toán (nợ) 
unlisted [01/,ʌn'listid/]	[01* ttừ]\n- không được ghi danh, không có trong danh sách công bố (nhất là bảng giá ở sở giao dịch chứng khoán)\n- (nói về số điện thoại) không nằm trong danh bạ
unlistening [01/ʌn'lisniη/]	[01* ttừ]\n- không chăm chú
unlit [01/ʌn'lit/]	[01* ttừ]\n- không có ánh sáng, không sang sủa\n- không thắp, không châm (đèn...) 
unlivable [01/'ʌn'livəbl/]	[01* ttừ]\n- không ở được (phòng, nhà...) 
unlive [01/(') ʌn'liv/]	[01* nđtừ]\n- sống cách khác, đổi cách sống
unliveable [01/'ʌn'livəbl/]	[01* ttừ]\n- xem [03unlivable] 
unload [01/ʌn'loud/]	[01* ngđtừ]\n- cất gánh nặng, dỡ hàng\n[02= to unload a ship] dỡ hàng ở tàu xuống\n[02= to unload cargo] dỡ hàng\n- tháo đạn (ở súng) ra\n- bán tống hết (chứng khoán)\n- (bóng) làm cho khuây, an ủi; thổ lộ\n[02= to unload one's heart] thổ lộ tâm tình; làm cho khuây nỗi lòng\n[01* nđtừ]\n- dỡ hàng
unloader	- xem [03unload] 
unlocalized [01/(') ʌn'loukəlaizd/]	[01* ttừ]\n- không được xác định, không được vạch rõ giới hạn\n- không được định rõ ranh giới\n- không được định vị
unlocated [01/,ʌnlou'keitid/]	[01* ttừ]\n- không xác định đúng vị trí\n- không đặt vào vị trí
unlock [01/ʌn'lɔk/]	[01* ngđtừ]\n- mở, mở khoá\n[02= to unlock a door] mở cửa\n- để lộ, tiết lộ\n[02= to unlock a secret] tiết lộ một điều bí mật
unlogical [01/(') ʌn'lɔdʒik(ə) l/]	[01* ttừ]\n- không nhất quán\n- không lô-gíc, phi lô-gíc
unlooked-at [01/ʌn'luktæt/]	[01* ttừ]\n- không ai quan tâm, bị bỏ rơi
unlooked-for [01/ʌn'lukt fɔ:/]	[01* ttừ]\n- không ngờ, không chờ đợi, không dè
unloose [01/ʌn'lu:s/]	như [03unloosen]
unloosen [01/ʌn'lu:sn/]	[01* ngđtừ]\n- thả ra, cởi ra, mở ra; nới (đinh ốc) ; làm cho dãn, làm cho lơi ra, làm cho lỏng ra (dây)\n[02= to unloose one's hold] thả ra, buông ra (cái mình đang cầm) 
unlopped [01/ʌn'lɔpt/]	[01* ttừ]\n- không được tỉa, không được xén, không được cắt
unlord [01/ʌn'lɔ:d/]	[01* ngđtừ]\n- rút tước phong
unlost [01/ʌn'lɔst/]	[01* ttừ]\n- không bị mất
unlovable [01/ʌn'lʌvəbl/]	[01* ttừ]\n- không đáng yêu; khó ưa, khó thương, khó có cảm tình
unloved [01/ʌn'lʌvd/]	[01* ttừ]\n- không được yêu, không được ưa
unloveliness [01/ʌn'lʌvlinis/]	[01* dtừ]\n- tính khó thương, tính không đáng yêu\n- vẻ vô duyên
unlovely [01/ʌn'lʌvli/]	[01* ttừ]\n- khó thương, không đáng yêu\n- không đẹp, vô duyên
unloving [01/ʌn'lʌviη/]	[01* ttừ]\n- không âu yếm, không có tình
unlubricated [01/'ʌn'lu:brikeitid/]	[01* ttừ]\n- không được tra dầu mỡ, không được bôi trơn
unluck [01/ʌn'lʌk/]	[01* dtừ]\n- sự thất bại, sự rủi ro
unluckily [01/ʌn'lʌkili/]	[01* phtừ]\n- không may, bất hạnh
unluckiness	- xem [03unlucky] 
unlucky [01/ʌn'lʌki/]	[01* ttừ]\n- không may, xúi, rủi, đen đủi\n- khổ sở, khốn khổ\n- không tốt, không hay, gở\n[02= an unlucky omen] một điềm gở, một triệu chứng không hay\n- không đúng lúc
unlucrative [01/'ʌn'l(j) u:krətiv/]	[01* ttừ]\n- không mang lợi, không có lãi
unlustrous [01/'ʌnlʌg'zjuəriəs/]	[01* ttừ]\n- không sang trọng, không hoa lệ, không lộng lẫy
unmachanized [01/,ʌn'mekənaizd/]	[01* ttừ]\n- không cơ khí, không cơ giới hoá
unmachinable [01/'ʌnmə'∫inə:bl/]	[01* ttừ]\n- không thể cắt, gọt (bằng máy công cụ) 
unmade [01/,ʌn'meid/]	[01* thời quá khứ & động tính từ quá khứ của] [03unmake]\n[01* ttừ]\n- bị phá, bị phá huỷ\n- chưa làm; chưa may (áo) 
unmagnanimous [01/'ʌnmæg'næniməs/]	[01* ttừ]\n- không hào hiệp, không cao thượng
unmagnified [01/'ʌnmægnifaid/]	[01* ttừ]\n- không được thổi phồng, không được phóng đại\n- không được phóng to, không được mở rộng
unmaidenly [01/ʌn'meidnli/]	[01* ttừ]\n- không xứng đáng là một cô gái, không phù hợp với một cô gái; không dịu dàng
unmailable [01/ʌn'meiləbl/]	[01* ttừ]\n- không thể gửi qua bưu điện, không được gửi qua bưu điện
unmailed [01/ʌn'meild/]	[01* ttừ]\n- không qua bưu điện, không nhận từ bưu điện
unmaimed [01/ʌn'meimd/]	[01* ttừ]\n- không bị thương tật, không bị tàn tật\n- không bị cắt xén (một quyển sách, một đoạn văn...) 
unmaintainable [01/,ʌnmen'teinəbl/]	[01* ttừ]\n- không thể giữ được, không thể duy trì được
unmake [01/'ʌn'meik/]	[01* ngđtừ unmade]\n- phá đi; phá huỷ
unmalicious [01/ʌn'mə'li∫əs/]	[01* ttừ]\n- không hiểm độc, không độc ác, không tàn nhẫn
unmaliness [01/ʌn'mænlinis/]	[01* dtừ]\n- sự thiếu đức tính đàn ông, sự không xứng đáng là kẻ nam nhi; sự không dũng mãnh, sự không hùng dũng; tính yếu đuối, tính nhu nhược\n- tính tầm thường, tính hèn yếu
unmalleability [01/,ʌn,mæliə'biləti/]	[01* dtừ]\n- tính không thể dát mỏng, tính không thể uốn (kim loại)\n- (bóng) tính khó bảo (trẻ con) 
unmalleable [01/,ʌn'mæliəbl/]	[01* ttừ]\n- không thể dát mỏng, không thể uốn (kim loại)\n- (bóng) khó bảo (trẻ con) 
unman [01/,ʌn'mæn/]	[01* ngđtừ]\n- làm cho yếu đuối, làm cho mềm yếu, làm cho nhu nhược\n- làm nản lòng, làm thoái chí; làm mất can đảm, làm mất nhuệ khí\n- (hàng hải) lấy người đi, bớt người làm (trên tàu) 
unmanageability	như [03unmanageably]
unmanageable [01/ʌn'mænidʒəbl/]	[01* ttừ]\n- khó trông nom, khó quản lý (công việc...)\n- khó dạy; cứng đầu cứng cổ (trẻ con)\n- khó cầm, khó sử dụng (đồ vật, máy móc...)\n- khó làm chủ được, không làm chủ được (tình hình...) 
unmanageableness [01/ʌn'mænidʒəblnis/]	[01* dtừ]\n- tính khó trông nom, tính khó quản lý (công việc...)\n- tính khó dạy; tính cứng đầu cứng cổ (trẻ con)\n- tính khó cầm, tính khó sử dụng (đồ vật, máy móc...)\n- tính khó làm chủ (tình hình...) 
unmanageably	- xem [03unmanageable] 
unmanful [01/ʌn'mænfl/]	[01* ttừ]\n- nhát gan; thiếu kiên quyết
unmanifest	[01* ttừ]\n- không rõ ràng, không rành mạch, không rạch ròi
unmanipulated [01/ʌn'mənipjuleitid/]	[01* ttừ]\n- không bị lôi kéo, sai khiến bằng mánh khoé\n- không dùng tay để vận hành
unmanlike [01/(') ʌn'mænlaik/]	[01* ttừ]\n- nhu nhược, tầm thường\n- không đáng làm nam nhi
unmanliness [01/,ʌn'mænlinis/]	- xem [03unmanly] 
unmanly [01/'ʌn'mænli/]	[01* ttừ]\n- không xứng đáng là đàn ông, không xứng đáng là kẻ nam nhi; không dũng mãnh, không hùng dũng, yếu đuối, nhu nhược\n- tầm thường, hèn yếu
unmanned [01/'ʌn'mænd/]	[01* ttừ]\n- không có người\n[02= to send an unmanned space ship to Mars] phóng một con tàu vũ trụ không có người lên sao Hoả
unmannered [01/'ʌn'mænəd/]	[01* ttừ]\n- tính bất lịch sự, vô lễ; vô giáo dục, mất dạy
unmanneredly	- xem [03unmannered] 
unmannerliness [01/ʌn'mænəlinis/]	[01* dtừ]\n- tính bất lịch sự, tính vô lễ; tính vô giáo dục, tính mất dạy
unmannerly [01/ʌn'mænəli/]	như [03unmannered]
unmantle [01/ʌn'mæntl/]	[01* ngđtừ]\n- bỏ khăn choàng ra\n- không che phủ, mở ra
unmanufactured [01/ʌn,mænju'fækt∫əd/]	[01* ttừ]\n- không được chế tạo, chế biến, luyện, gia công
unmanured [01/ʌn'mə'njuəg/]	[01* ttừ]\n- không bón phân
unmapped [01/ʌn'mæpt/]	[01* ttừ]\n- không ghi trên bản đồ
unmarked [01/ʌn'mɑ:kt/]	[01* ttừ]\n- không được đánh dấu\n- không bị theo dõi; không được để ý
unmarketable [01/ʌn'mɑ:kitəbl/]	[01* ttừ]\n- (thương nghiệp) không bán được, không bán chạy
unmarriageable [01/ʌn'mæridʒəbl/]	[01* ttừ]\n- không thể kết hôn được; khó lấy chồng\n- chưa đến tuổi hôn nhân
unmarriageableness [01/ʌn'mæridʒəblnis/]	[01* dtừ]\n- tình trạng không thể kết hôn được; tình trạng khó lấy chồng\n- tình trạng chưa đến tuổi hôn nhân
unmarried [01/,ʌn'mærid/]	[01* ttừ]\n- chưa kết hôn, chưa thành lập gia đình; ở vậy
unmarry [01/ʌn'mæri/]	[01* ngđtừ]\n- chưa ly hôn, ly dị\n[01* nđtừ]\n- ly hôn, ly dị
unmartial [01/ʌn'mɑ:∫əl/]	[01* ttừ]\n- không hiếu chiến
unmasculine [01/ʌn'mɑ:skjulin/]	[01* ttừ]\n- không có tính cách đàn ông; ẻo lả; yếu đuối
unmask [01/ʌn'mɑ:sk/]	[01* ngđtừ]\n- vạch mặt, lột mặt nạ\n[01* nđtừ]\n- tự lột mặt nạ, lộ chân tướng
unmastered [01/ʌn'mɑ:stəd/]	[01* ttừ]\n- không kiềm chế được, không chế ngự được\n- không khắc phục được, không vượt qua được
unmasticable [01/ʌn'mæstikəbl/]	như [03unchewable]
unmatchable [01/ʌn'mæt∫əbl/]	[01* ttừ]\n- không ai địch được, không có gì địch được, không ai sánh được, không có gì sánh được
unmatched [01/ʌn'mæt∫t/]	[01* ttừ]\n- chưa ai địch nổi, chưa có gì địch nổi; chưa ai sánh kịp, chưa có gì sánh kịp\n[02= unmatched in eloguence] chưa ai sánh kịp về tài hùng biện\n- lẻ đôi, lẻ bộ
unmaterial [01/,ʌnmə'tiəriəl/]	[01* ttừ]\n- phi vật chất
unmaterialistic [01/,ʌnmə,tiəriə'listik/]	[01* ttừ]\n- không nặng về vật chất, không quá thiên về vật chất\n- không duy vật
unmathematical [01/,ʌn,mæθi:mætik(ə) l/]	[01* ttừ]\n- không toán học
unmatured [01/,ʌnmə'tjuəd/]	[01* ttừ]\n- chưa chín\n- không chín chắn; không hoàn thiện
unmeaning [01/ʌn'mi:niη/]	[01* ttừ]\n- không có nghĩa, vô nghĩa\n- không có ý định, không chủ ý
unmeaningly	- xem [03unmeaning] 
unmeant [01/ʌn'ment/]	[01* ttừ]\n- không có ý định
unmeasurable [01/ʌn'meʒərəbl/]	[01* ttừ]\n- không thể đo được, vô ngần, vô số; vô biên, mênh mông, bao la
unmeasured [01/ʌn'meʒəd/]	[01* ttừ]\n- không đo; vô định, vô hạn; vô biên, mênh mông, bao la\n- không đắn đo (lời) 
unmechanical [01/,ʌnmi'kænikl/]	[01* ttừ]\n- không cơ khí, thủ công\n- không máy móc, sáng tạo
unmechanically	- xem [03unmechanical] 
unmediated [01/'ʌn'mi:dieitid/]	[01* ttừ]\n- không có trung gian\n- không được giàn xếp; không được hoà giải
unmeditated [01/'ʌn'meditieitid/]	[01* ttừ]\n- không được tính trước\n- không được nghiền ngẫm, không được tính kỹ
unmeet [01/ʌn'mi:t/]	[01* ttừ]\n- không thích hợp, không tương ứng
unmellow [01/'ʌn'melou/]	[01* ttừ]\n- không chín chắn, không khôn ngoan; bộp chộp\n- không dịu, chói chang (màu sắc)\n- không chín, không ngọt (quả)\n- vội vàng (tính tình) 
unmelodious [01/,ʌnmi'loudiəs/]	[01* ttừ]\n- không êm tai
unmelodiousness [01/,ʌnmi'loudiəsnis/]	[01* dtừ]\n- tính không êm tai
unmelted [01/ʌn'meltid/]	[01* ttừ]\n- không tan ra, không chảy ra\n- không động lòng, không mủi lòng, thản nhiên
unmemorable [01/ʌnmem(ə) rəbl/]	[01* ttừ]\n- không đáng nhớ, không đáng ghi nhớ
unmemorably [01/ʌnmem(ə) rəbli/]	[01* trạng từ]\n- xem [03unmemorable] 
unmemorized [01/ʌnmem(ə) raizd/]	[01* ttừ]\n- không học thuộc, không thuộc lòng\n- không được ghi nhớ, không được ghi chép
unmendable [01/ʌn'mendəbl/]	[01* ttừ]\n- không thể vá được, không thể mạng được\n- không chữa lại được (lỗi) 
unmentionable [01/ʌn'men∫ənəbl/]	[01* ttừ]\n- không nên nói đến (vì quá chướng...)\n[01* dtừ]\n- cái không nên nói đến\n- (số nhiều)(tục) quần
unmentionableness	- xem [03unmentionable] 
unmentionables [01/ʌn'men∫ənəbls/]	[01* dtừ]\n- (cổ) ; <đùa> những người (vật) không nên nói đến (nhất là quần áo lót) 
unmentionably	như [03unmentionableness]
unmercenary [01/ʌn'mə:sinəri/]	[01* ttừ]\n- không hám lợi, không vụ lợi
unmerchantable [01/ʌn'mə:t∫əntəbl/]	như [03unvendable]
unmerciful [01/ʌn'mə:siful/]	[01* ttừ]\n- không thương xót, không thương hại; nhẫn tâm
unmercifully	- xem [03unmerciful] 
unmercifulness [01/ʌn'mə:sifənis/]	[01* dtừ]\n- sự không thương xót, sự không thương hại; sự nhẫn tâm
unmerited [01/ʌn'meritid/]	như [03undeserved]
unmeritorious [01/'ʌn,meri'tɔriəs/]	[01* ttừ]\n- không xứng đáng\n- không đáng khen, không biểu dương, không khích lệ
